Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	53	73	5	7	16	0	0	0	0	0	0	0	0	0	0	0	0	21431560	
1	1	A	1	N	2500	0	40	33	31	6	8	13	0	0	0	0	0	0	0	0	0	0	0	0	21431700	
2	1	A	1	N	2500	0	40	27	37	9	11	15	0	0	0	0	0	0	0	0	0	0	0	0	21431700	
3	1	A	1	N	2500	0	40	36	66	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	21433400	
4	1	A	1	N	2500	0	40	59	67	4	7	20	0	0	0	0	0	0	0	0	0	0	0	0	21433681	
5	1	A	1	N	2500	0	40	58	58	6	7	9	0	0	0	0	0	0	0	0	0	0	0	0	21434274	
6	1	A	1	N	2500	0	40	33	46	4	7	15	0	0	0	0	0	0	0	0	0	0	0	0	21434430	
7	1	A	1	N	2500	0	40	23	27	2	18	45	0	0	0	0	0	0	0	0	0	0	0	0	21434477	
8	1	A	1	N	2500	0	40	29	28	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21434492	
9	1	A	1	N	2500	0	40	30	41	2	5	12	0	0	0	0	0	0	0	0	0	0	0	0	21434789	
10	1	A	1	N	2500	0	40	54	56	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	21434836	
11	1	A	1	N	2500	0	40	34	57	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21434898	
12	1	A	1	N	2500	0	40	296	1475	241	377	664	0	0	0	0	0	0	0	0	0	0	0	0	21435023	
13	1	A	1	N	2500	0	40	404	1785	310	581	1138	0	0	0	0	0	0	0	0	0	0	0	0	21435194	
14	1	A	1	N	2500	0	40	27	36	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	21436130	
15	1	A	1	N	2500	0	40	139	160	11	9	16	0	0	0	0	0	0	0	0	0	0	0	0	21436193	
16	1	A	1	N	2500	0	40	82	180	21	164	432	0	0	0	0	0	0	0	0	0	0	0	0	21436536	
17	1	A	1	N	2500	0	40	29	35	9	12	10	0	0	0	0	0	0	0	0	0	0	0	0	21437628	
18	1	A	1	N	2500	0	40	62	84	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	21438034	
19	1	A	1	N	2500	0	40	301	1414	234	337	606	0	0	0	0	0	0	0	0	0	0	0	0	21438580	
20	1	A	2	N	2500	0	40	24	29	2	21	59	0	0	0	0	0	0	0	0	0	0	0	0	21446286	
21	1	A	2	N	2500	0	40	37	66	4	7	16	0	0	0	0	0	0	0	0	0	0	0	0	21446364	
22	1	A	2	N	2500	0	40	36	66	3	7	15	0	0	0	0	0	0	0	0	0	0	0	0	21446458	
23	1	A	2	N	2500	0	40	29	40	20	229	229	0	0	0	0	0	0	0	0	0	0	0	0	21446676	
24	1	A	2	N	2500	0	40	115	221	6	4	22	0	0	0	0	0	0	0	0	0	0	0	0	21446785	
25	1	A	2	N	2500	0	40	20	33	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	21446894	
26	1	A	2	N	2500	0	40	24	42	6	8	12	0	0	0	0	0	0	0	0	0	0	0	0	21446988	
27	1	A	2	N	2500	0	40	31	39	5	9	12	0	0	0	0	0	0	0	0	0	0	0	0	21447300	
28	1	A	2	N	2500	0	40	29	69	33	225	229	0	0	0	0	0	0	0	0	0	0	0	0	21447331	
29	1	A	2	N	2500	0	40	20	16	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	21447409	
30	1	A	2	N	2500	0	40	20	20	2	7	18	0	0	0	0	0	0	0	0	0	0	0	0	21447565	
31	1	A	2	N	2500	0	40	104	253	50	83	162	0	0	0	0	0	0	0	0	0	0	0	0	21447643	
32	1	A	2	N	2500	0	40	24	23	4	4	8	0	0	0	0	0	0	0	0	0	0	0	0	21447643	
33	1	A	2	N	2500	0	40	34	58	3	4	10	0	0	0	0	0	0	0	0	0	0	0	0	21447643	
34	1	A	2	N	2500	0	40	30	50	10	12	13	0	0	0	0	0	0	0	0	0	0	0	0	21447643	
35	1	A	2	N	2500	0	40	71	120	20	31	42	0	0	0	0	0	0	0	0	0	0	0	0	21447690	
36	1	A	2	N	2500	0	40	370	1054	122	104	114	0	0	0	0	0	0	0	0	0	0	0	0	21447721	
37	1	A	2	N	2500	0	40	30	46	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	21447815	
38	1	A	2	N	2500	0	40	20	19	6	155	155	0	0	0	0	0	0	0	0	0	0	0	0	21448064	
39	1	A	2	N	2500	0	40	352	1031	127	148	256	0	0	0	0	0	0	0	0	0	0	0	0	21448158	
40	1	A	2	N	2500	0	40	23	31	1	4	9	0	0	0	0	0	0	0	0	0	0	0	0	21448345	
41	1	A	2	N	2500	0	40	50	58	2	6	16	0	0	0	0	0	0	0	0	0	0	0	0	21448376	
42	1	A	2	N	2500	0	40	28	65	3	5	14	0	0	0	0	0	0	0	0	0	0	0	0	21448532	
