Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	27	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19342197	
1	1	A	1	N	2500	0	40	409	797	127	155	256	0	0	0	0	0	0	0	0	0	0	0	0	19342462	
2	1	A	1	N	2500	0	40	322	1106	200	209	264	0	0	0	0	0	0	0	0	0	0	0	0	19343164	
3	1	A	1	N	2500	0	40	433	1157	168	208	315	0	0	0	0	0	0	0	0	0	0	0	0	19345130	
4	1	A	1	N	2500	0	40	47	53	9	12	19	0	0	0	0	0	0	0	0	0	0	0	0	19347782	
5	1	A	2	N	2500	0	40	25	31	2	12	38	0	0	0	0	0	0	0	0	0	0	0	0	19355785	
6	1	A	2	N	2500	0	40	28	35	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	19356081	
7	1	A	2	N	2500	0	40	30	58	11	17	22	0	0	0	0	0	0	0	0	0	0	0	0	19356128	
8	1	A	2	N	2500	0	40	60	72	4	6	15	0	0	0	0	0	0	0	0	0	0	0	0	19356159	
9	1	A	2	N	2500	0	40	426	924	152	164	267	0	0	0	0	0	0	0	0	0	0	0	0	19356253	
10	1	A	2	N	2500	0	40	28	33	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	19356346	
11	1	A	2	N	2500	0	40	28	22	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	19356455	
12	1	A	2	N	2500	0	40	50	47	8	13	25	0	0	0	0	0	0	0	0	0	0	0	0	19356596	
13	1	A	2	N	2500	0	40	30	47	2	8	23	0	0	0	0	0	0	0	0	0	0	0	0	19356611	
14	1	A	2	N	2500	0	40	23	26	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0	19356658	
15	1	A	2	N	2500	0	40	84	116	19	31	35	0	0	0	0	0	0	0	0	0	0	0	0	19356674	
16	1	A	2	N	2500	0	40	23	21	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	19356783	
17	1	A	2	N	2500	0	40	497	1616	246	271	377	0	0	0	0	0	0	0	0	0	0	0	0	19356845	
18	1	A	2	N	2500	0	40	416	629	86	92	149	0	0	0	0	0	0	0	0	0	0	0	0	19357079	
19	1	A	2	N	2500	0	40	26	34	2	5	13	0	0	0	0	0	0	0	0	0	0	0	0	19357189	
20	1	A	2	N	2500	0	40	474	1263	179	184	265	0	0	0	0	0	0	0	0	0	0	0	0	19357251	
21	1	A	2	N	2500	0	40	32	35	2	5	15	0	0	0	0	0	0	0	0	0	0	0	0	19357298	
22	1	A	2	N	2500	0	40	85	133	19	29	41	0	0	0	0	0	0	0	0	0	0	0	0	19357329	
23	1	A	2	N	2500	0	40	22	25	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	19357485	
24	1	A	2	N	2500	0	40	100	170	33	49	76	0	0	0	0	0	0	0	0	0	0	0	0	19357579	
25	1	A	2	N	2500	0	40	69	59	9	16	30	0	0	0	0	0	0	0	0	0	0	0	0	19357875	
26	1	A	2	N	2500	0	40	27	22	5	7	8	0	0	0	0	0	0	0	0	0	0	0	0	19357906	
27	1	A	2	N	2500	0	40	44	39	6	8	13	0	0	0	0	0	0	0	0	0	0	0	0	19357906	
28	1	A	2	N	2500	0	40	26	22	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19357969	
29	1	A	2	N	2500	0	40	22	28	15	25	29	0	0	0	0	0	0	0	0	0	0	0	0	19358031	
30	1	A	2	N	2500	0	40	23	22	1	3	7	0	0	0	0	0	0	0	0	0	0	0	0	19358156	
31	1	A	2	N	2500	0	40	555	1514	188	243	400	0	0	0	0	0	0	0	0	0	0	0	0	19358187	
32	1	A	2	N	2500	0	40	342	621	84	82	112	0	0	0	0	0	0	0	0	0	0	0	0	19358218	
33	1	A	2	N	2500	0	40	22	23	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	19358468	
