Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	105	288	33	84	199	0	0	0	0	0	0	0	0	0	0	0	0	35214197	
1	1	A	1	N	2500	0	40	54	91	7	7	12	0	0	0	0	0	0	0	0	0	0	0	0	35214197	
2	1	A	1	N	2500	0	40	35	32	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	35214415	
3	1	A	1	N	2500	0	40	22	34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35214476	
4	1	A	1	N	2500	0	40	20	18	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	35219009	
5	1	A	1	N	2500	0	40	22	19	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	35219227	
6	1	A	1	N	2500	0	40	25	23	15	196	196	0	0	0	0	0	0	0	0	0	0	0	0	35219243	
7	1	A	1	N	2500	0	40	46	42	5	7	10	0	0	0	0	0	0	0	0	0	0	0	0	35219836	
8	1	A	1	N	2500	0	40	454	1350	239	248	320	0	0	0	0	0	0	0	0	0	0	0	0	35220304	
9	1	A	1	N	2500	0	40	21	17	5	163	163	0	0	0	0	0	0	0	0	0	0	0	0	35220444	
10	1	A	1	N	2500	0	40	35	51	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	35220460	
11	1	A	2	N	2500	0	40	35	53	20	278	278	0	0	0	0	0	0	0	0	0	0	0	0	35229040	
12	1	A	2	N	2500	0	40	23	26	3	6	13	0	0	0	0	0	0	0	0	0	0	0	0	35229133	
13	1	A	2	N	2500	0	40	30	36	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	35229211	
14	1	A	2	N	2500	0	40	26	34	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	35229211	
