Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	29	33	3	5	7	0	0	0	0	0	0	0	0	0	0	0	0	31824359	
1	1	A	1	N	2500	0	40	33	29	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	31824359	
2	1	A	1	N	2500	0	40	22	24	3	16	43	0	0	0	0	0	0	0	0	0	0	0	0	31825217	
3	1	A	1	N	2500	0	40	22	27	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	31825513	
4	1	A	1	N	2500	0	40	431	1004	161	239	446	0	0	0	0	0	0	0	0	0	0	0	0	31825716	
5	1	A	1	N	2500	0	40	24	48	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	31826184	
6	1	A	1	N	2500	0	40	35	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31826621	
7	1	A	1	N	2500	0	40	199	310	23	18	24	0	0	0	0	0	0	0	0	0	0	0	0	31827822	
8	1	A	1	N	2500	0	40	25	34	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	31829101	
9	1	A	1	N	2500	0	40	21	31	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	31829757	
10	1	A	2	N	2500	0	40	29	25	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	31837713	
11	1	A	2	N	2500	0	40	72	94	8	10	12	0	0	0	0	0	0	0	0	0	0	0	0	31837713	
12	1	A	2	N	2500	0	40	36	54	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	31837822	
13	1	A	2	N	2500	0	40	46	94	9	9	11	0	0	0	0	0	0	0	0	0	0	0	0	31837822	
14	1	A	2	N	2500	0	40	119	150	73	120	170	0	0	0	0	0	0	0	0	0	0	0	0	31838025	
15	1	A	2	N	2500	0	40	25	25	10	196	196	0	0	0	0	0	0	0	0	0	0	0	0	31838274	
16	1	A	2	N	2500	0	40	20	22	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	31838836	
17	1	A	2	N	2500	0	40	116	148	14	18	33	0	0	0	0	0	0	0	0	0	0	0	0	31838851	
18	1	A	2	N	2500	0	40	209	242	22	16	19	0	0	0	0	0	0	0	0	0	0	0	0	31839039	
19	1	A	2	N	2500	0	40	21	18	9	163	163	0	0	0	0	0	0	0	0	0	0	0	0	31839195	
20	1	A	2	N	2500	0	40	34	40	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	31839273	
21	1	A	2	N	2500	0	40	68	106	14	12	16	0	0	0	0	0	0	0	0	0	0	0	0	31839273	
22	1	A	2	N	2500	0	40	23	25	5	6	10	0	0	0	0	0	0	0	0	0	0	0	0	31839522	
23	1	A	2	N	2500	0	40	24	29	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	31839725	
24	1	A	2	N	2500	0	40	20	30	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	31839756	
25	1	A	2	N	2500	0	40	199	310	25	28	45	0	0	0	0	0	0	0	0	0	0	0	0	31840115	
26	1	A	2	N	2500	0	40	279	457	42	39	60	0	0	0	0	0	0	0	0	0	0	0	0	31840193	
27	1	A	2	N	2500	0	40	116	251	25	23	30	0	0	0	0	0	0	0	0	0	0	0	0	31840505	
28	1	A	2	N	2500	0	40	146	165	16	15	22	0	0	0	0	0	0	0	0	0	0	0	0	31840567	
29	1	A	2	N	2500	0	40	21	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31840567	
30	1	A	2	N	2500	0	40	23	26	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	31840677	
31	1	A	2	N	2500	0	40	33	40	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	31840879	
32	1	A	2	N	2500	0	40	183	215	21	26	43	0	0	0	0	0	0	0	0	0	0	0	0	31840911	
33	1	A	2	N	2500	0	40	231	338	32	24	24	0	0	0	0	0	0	0	0	0	0	0	0	31841035	
34	1	A	2	N	2500	0	40	26	23	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	31841051	
35	1	A	2	N	2500	0	40	50	59	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	31841082	
36	1	A	2	N	2500	0	40	160	224	15	19	32	0	0	0	0	0	0	0	0	0	0	0	0	31841082	
37	1	A	2	N	2500	0	40	20	22	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	31841098	
38	1	A	2	N	2500	0	40	32	40	39	253	253	0	0	0	0	0	0	0	0	0	0	0	0	31841145	
39	1	A	2	N	2500	0	40	33	75	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	31841238	
40	1	A	2	N	2500	0	40	61	56	5	6	12	0	0	0	0	0	0	0	0	0	0	0	0	31841238	
41	1	A	2	N	2500	0	40	228	300	26	26	35	0	0	0	0	0	0	0	0	0	0	0	0	31841347	
42	1	A	2	N	2500	0	40	107	194	20	26	40	0	0	0	0	0	0	0	0	0	0	0	0	31841379	
43	1	A	2	N	2500	0	40	132	200	20	22	34	0	0	0	0	0	0	0	0	0	0	0	0	31841394	
44	1	A	2	N	2500	0	40	24	32	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	31841519	
45	1	A	2	N	2500	0	40	198	394	32	46	85	0	0	0	0	0	0	0	0	0	0	0	0	31841722	
46	1	A	2	N	2500	0	40	23	23	7	9	11	0	0	0	0	0	0	0	0	0	0	0	0	31841831	
47	1	A	2	N	2500	0	40	30	29	7	237	237	0	0	0	0	0	0	0	0	0	0	0	0	31841862	
48	1	A	2	N	2500	0	40	29	28	10	229	229	0	0	0	0	0	0	0	0	0	0	0	0	31841878	
49	1	A	2	N	2500	0	40	30	31	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	31841878	
50	1	A	2	N	2500	0	40	27	48	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	31842003	
51	1	A	2	N	2500	0	40	185	268	29	32	51	0	0	0	0	0	0	0	0	0	0	0	0	31842096	
52	1	A	2	N	2500	0	40	183	232	22	24	45	0	0	0	0	0	0	0	0	0	0	0	0	31842112	
53	1	A	2	N	2500	0	40	20	19	9	155	155	0	0	0	0	0	0	0	0	0	0	0	0	31842174	
54	1	A	2	N	2500	0	40	32	42	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	31842268	
55	1	A	2	N	2500	0	40	22	27	11	172	172	0	0	0	0	0	0	0	0	0	0	0	0	31842283	
56	1	A	2	N	2500	0	40	26	23	10	204	204	0	0	0	0	0	0	0	0	0	0	0	0	31842330	
57	1	A	2	N	2500	0	40	26	33	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	31842377	
58	1	A	2	N	2500	0	40	30	37	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	31842377	
59	1	A	2	N	2500	0	40	23	28	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	31842751	
60	1	A	2	N	2500	0	40	170	329	26	30	44	0	0	0	0	0	0	0	0	0	0	0	0	31842923	
61	1	A	2	N	2500	0	40	233	332	28	27	43	0	0	0	0	0	0	0	0	0	0	0	0	31842985	
62	1	A	2	N	2500	0	40	20	25	19	155	155	0	0	0	0	0	0	0	0	0	0	0	0	31843032	
63	1	A	2	N	2500	0	40	22	28	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	31843048	
64	1	A	2	N	2500	0	40	162	272	26	27	40	0	0	0	0	0	0	0	0	0	0	0	0	31843063	
65	1	A	2	N	2500	0	40	63	58	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	31843110	
66	1	A	2	N	2500	0	40	36	72	37	286	286	0	0	0	0	0	0	0	0	0	0	0	0	31843204	
67	1	A	2	N	2500	0	40	174	170	18	14	20	0	0	0	0	0	0	0	0	0	0	0	0	31843563	
68	1	A	2	N	2500	0	40	30	25	18	237	237	0	0	0	0	0	0	0	0	0	0	0	0	31843656	
69	1	A	2	N	2500	0	40	169	197	13	17	35	0	0	0	0	0	0	0	0	0	0	0	0	31843984	
70	1	A	2	N	2500	0	40	29	38	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	31844031	
71	1	A	2	N	2500	0	40	123	241	21	19	23	0	0	0	0	0	0	0	0	0	0	0	0	31844202	
72	1	A	2	N	2500	0	40	22	31	14	172	172	0	0	0	0	0	0	0	0	0	0	0	0	31844311	
73	1	A	2	N	2500	0	40	20	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31844545	
