Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	455	1287	272	368	614	0	0	0	0	0	0	0	0	0	0	0	0	33524778	
1	1	A	1	N	2500	0	40	455	1206	261	276	380	0	0	0	0	0	0	0	0	0	0	0	0	33526899	
2	1	A	1	N	2500	0	40	20	23	8	155	155	0	0	0	0	0	0	0	0	0	0	0	0	33528007	
3	1	A	1	N	2500	0	40	49	46	5	7	10	0	0	0	0	0	0	0	0	0	0	0	0	33530331	
4	1	A	2	N	2500	0	40	219	374	32	31	41	0	0	0	0	0	0	0	0	0	0	0	0	33537913	
5	1	A	2	N	2500	0	40	25	23	10	196	196	0	0	0	0	0	0	0	0	0	0	0	0	33537960	
6	1	A	2	N	2500	0	40	25	32	14	196	196	0	0	0	0	0	0	0	0	0	0	0	0	33538131	
7	1	A	2	N	2500	0	40	217	277	23	23	33	0	0	0	0	0	0	0	0	0	0	0	0	33538521	
8	1	A	2	N	2500	0	40	148	196	19	18	22	0	0	0	0	0	0	0	0	0	0	0	0	33538677	
9	1	A	2	N	2500	0	40	41	57	61	327	327	0	0	0	0	0	0	0	0	0	0	0	0	33538911	
10	1	A	2	N	2500	0	40	350	1113	195	175	193	0	0	0	0	0	0	0	0	0	0	0	0	33539083	
11	1	A	2	N	2500	0	40	101	225	23	24	35	0	0	0	0	0	0	0	0	0	0	0	0	33539161	
12	1	A	2	N	2500	0	40	138	203	21	21	27	0	0	0	0	0	0	0	0	0	0	0	0	33539317	
13	1	A	2	N	2500	0	40	198	255	24	28	47	0	0	0	0	0	0	0	0	0	0	0	0	33539317	
14	1	A	2	N	2500	0	40	29	28	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	33539332	
15	1	A	2	N	2500	0	40	134	223	118	1089	1089	0	0	0	0	0	0	0	0	0	0	0	0	33539395	
16	1	A	2	N	2500	0	40	41	40	17	327	327	0	0	0	0	0	0	0	0	0	0	0	0	33539395	
17	1	A	2	N	2500	0	40	20	18	5	155	155	0	0	0	0	0	0	0	0	0	0	0	0	33539426	
18	1	A	2	N	2500	0	40	156	198	21	24	40	0	0	0	0	0	0	0	0	0	0	0	0	33539504	
19	1	A	2	N	2500	0	40	28	36	1	4	9	0	0	0	0	0	0	0	0	0	0	0	0	33539582	
20	1	A	2	N	2500	0	40	261	408	35	28	38	0	0	0	0	0	0	0	0	0	0	0	0	33539832	
21	1	A	2	N	2500	0	40	184	228	17	23	41	0	0	0	0	0	0	0	0	0	0	0	0	33540346	
22	1	A	2	N	2500	0	40	22	27	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	33540378	
23	1	A	2	N	2500	0	40	73	127	21	33	46	0	0	0	0	0	0	0	0	0	0	0	0	33540565	
24	1	A	2	N	2500	0	40	22	35	4	5	11	0	0	0	0	0	0	0	0	0	0	0	0	33540752	
25	1	A	2	N	2500	0	40	134	151	18	17	25	0	0	0	0	0	0	0	0	0	0	0	0	33541048	
26	1	A	2	N	2500	0	40	29	36	10	229	229	0	0	0	0	0	0	0	0	0	0	0	0	33541095	
27	1	A	2	N	2500	0	40	27	39	26	212	212	0	0	0	0	0	0	0	0	0	0	0	0	33541360	
28	1	A	2	N	2500	0	40	180	215	22	18	25	0	0	0	0	0	0	0	0	0	0	0	0	33541376	
29	1	A	2	N	2500	0	40	35	46	22	278	278	0	0	0	0	0	0	0	0	0	0	0	0	33541516	
30	1	A	2	N	2500	0	40	20	26	5	7	8	0	0	0	0	0	0	0	0	0	0	0	0	33541516	
31	1	A	2	N	2500	0	40	24	30	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	33541719	
32	1	A	2	N	2500	0	40	27	39	2	6	10	0	0	0	0	0	0	0	0	0	0	0	0	33541750	
33	1	A	2	N	2500	0	40	180	271	25	22	24	0	0	0	0	0	0	0	0	0	0	0	0	33541766	
34	1	A	2	N	2500	0	40	129	233	24	26	37	0	0	0	0	0	0	0	0	0	0	0	0	33541797	
35	1	A	2	N	2500	0	40	178	211	22	23	32	0	0	0	0	0	0	0	0	0	0	0	0	33541828	
36	1	A	2	N	2500	0	40	60	68	40	483	483	0	0	0	0	0	0	0	0	0	0	0	0	33541922	
37	1	A	2	N	2500	0	40	200	243	23	28	39	0	0	0	0	0	0	0	0	0	0	0	0	33542016	
38	1	A	2	N	2500	0	40	27	54	6	6	7	0	0	0	0	0	0	0	0	0	0	0	0	33542109	
39	1	A	2	N	2500	0	40	28	34	16	221	221	0	0	0	0	0	0	0	0	0	0	0	0	33542234	
40	1	A	2	N	2500	0	40	34	50	23	270	270	0	0	0	0	0	0	0	0	0	0	0	0	33542250	
41	1	A	2	N	2500	0	40	31	27	10	245	245	0	0	0	0	0	0	0	0	0	0	0	0	33542296	
42	1	A	2	N	2500	0	40	92	94	8	7	10	0	0	0	0	0	0	0	0	0	0	0	0	33542296	
43	1	A	2	N	2500	0	40	151	271	16	20	33	0	0	0	0	0	0	0	0	0	0	0	0	33542515	
