Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	137	485	110	118	186	0	0	0	0	0	0	0	0	0	0	0	0	25179728	
1	1	A	1	N	2500	0	40	115	136	51	58	94	0	0	0	0	0	0	0	0	0	0	0	0	25179728	
2	1	A	1	N	2500	0	40	21	25	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	25179977	
3	1	A	1	N	2500	0	40	22	24	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	25182177	
4	1	A	1	N	2500	0	40	52	54	26	417	417	0	0	0	0	0	0	0	0	0	0	0	0	25182239	
5	1	A	1	N	2500	0	40	306	969	195	237	392	0	0	0	0	0	0	0	0	0	0	0	0	25183550	
6	1	A	1	N	2500	0	40	21	25	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	25184876	
7	1	A	2	N	2500	0	40	55	62	7	12	16	0	0	0	0	0	0	0	0	0	0	0	0	25194158	
8	1	A	2	N	2500	0	40	33	39	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	25194173	
9	1	A	2	N	2500	0	40	274	570	101	113	177	0	0	0	0	0	0	0	0	0	0	0	0	25194205	
10	1	A	2	N	2500	0	40	136	225	19	18	28	0	0	0	0	0	0	0	0	0	0	0	0	25194220	
11	1	A	2	N	2500	0	40	270	599	92	70	61	0	0	0	0	0	0	0	0	0	0	0	0	25194345	
12	1	A	2	N	2500	0	40	27	29	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	25194345	
13	1	A	2	N	2500	0	40	36	30	2	6	11	0	0	0	0	0	0	0	0	0	0	0	0	25194376	
14	1	A	2	N	2500	0	40	47	44	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	25194454	
15	1	A	2	N	2500	0	40	22	23	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	25194485	
16	1	A	2	N	2500	0	40	24	28	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	25194673	
17	1	A	2	N	2500	0	40	25	32	4	5	9	0	0	0	0	0	0	0	0	0	0	0	0	25194797	
18	1	A	2	N	2500	0	40	34	40	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	25194844	
19	1	A	2	N	2500	0	40	25	25	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	25195281	
20	1	A	2	N	2500	0	40	32	31	3	4	9	0	0	0	0	0	0	0	0	0	0	0	0	25195390	
21	1	A	2	N	2500	0	40	95	96	7	9	17	0	0	0	0	0	0	0	0	0	0	0	0	25195390	
22	1	A	2	N	2500	0	40	91	90	5	5	9	0	0	0	0	0	0	0	0	0	0	0	0	25195390	
23	1	A	2	N	2500	0	40	146	179	17	18	22	0	0	0	0	0	0	0	0	0	0	0	0	25195421	
24	1	A	2	N	2500	0	40	30	37	4	5	9	0	0	0	0	0	0	0	0	0	0	0	0	25195468	
25	1	A	2	N	2500	0	40	20	17	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	25195531	
26	1	A	2	N	2500	0	40	62	127	14	13	17	0	0	0	0	0	0	0	0	0	0	0	0	25195531	
27	1	A	2	N	2500	0	40	174	177	18	23	41	0	0	0	0	0	0	0	0	0	0	0	0	25195640	
28	1	A	2	N	2500	0	40	88	182	151	712	712	0	0	0	0	0	0	0	0	0	0	0	0	25195827	
29	1	A	2	N	2500	0	40	31	44	19	245	245	0	0	0	0	0	0	0	0	0	0	0	0	25195921	
30	1	A	2	N	2500	0	40	20	24	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	25195983	
31	1	A	2	N	2500	0	40	225	342	25	17	25	0	0	0	0	0	0	0	0	0	0	0	0	25196014	
32	1	A	2	N	2500	0	40	31	39	4	5	8	0	0	0	0	0	0	0	0	0	0	0	0	25196061	
33	1	A	2	N	2500	0	40	22	31	3	5	10	0	0	0	0	0	0	0	0	0	0	0	0	25196092	
34	1	A	2	N	2500	0	40	25	34	6	11	16	0	0	0	0	0	0	0	0	0	0	0	0	25196092	
35	1	A	2	N	2500	0	40	28	31	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	25196170	
36	1	A	2	N	2500	0	40	34	35	5	7	13	0	0	0	0	0	0	0	0	0	0	0	0	25196217	
37	1	A	2	N	2500	0	40	21	26	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	25196264	
38	1	A	2	N	2500	0	40	28	32	19	221	221	0	0	0	0	0	0	0	0	0	0	0	0	25196342	
39	1	A	2	N	2500	0	40	20	20	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	25196420	
40	1	A	2	N	2500	0	40	21	23	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	25196591	
41	1	A	2	N	2500	0	40	34	42	6	10	12	0	0	0	0	0	0	0	0	0	0	0	0	25196841	
42	1	A	2	N	2500	0	40	91	147	120	737	737	0	0	0	0	0	0	0	0	0	0	0	0	25196872	
43	1	A	2	N	2500	0	40	131	243	22	19	23	0	0	0	0	0	0	0	0	0	0	0	0	25196935	
44	1	A	2	N	2500	0	40	20	35	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	25196935	
45	1	A	2	N	2500	0	40	462	1286	192	193	250	0	0	0	0	0	0	0	0	0	0	0	0	25196966	
46	1	A	2	N	2500	0	40	28	42	8	12	19	0	0	0	0	0	0	0	0	0	0	0	0	25197122	
47	1	A	2	N	2500	0	40	196	220	20	19	25	0	0	0	0	0	0	0	0	0	0	0	0	25197169	
48	1	A	2	N	2500	0	40	77	99	12	12	23	0	0	0	0	0	0	0	0	0	0	0	0	25197278	
49	1	A	2	N	2500	0	40	30	40	21	39	41	0	0	0	0	0	0	0	0	0	0	0	0	25197293	
50	1	A	2	N	2500	0	40	36	43	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	25197325	
51	1	A	2	N	2500	0	40	94	98	11	8	13	0	0	0	0	0	0	0	0	0	0	0	0	25197325	
52	1	A	2	N	2500	0	40	86	195	22	20	22	0	0	0	0	0	0	0	0	0	0	0	0	25197387	
53	1	A	2	N	2500	0	40	26	46	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	25197387	
54	1	A	2	N	2500	0	40	30	36	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	25197527	
55	1	A	2	N	2500	0	40	35	35	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	25197527	
