Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	2	A	1	N	2500	0	40	47	62	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0	24903370	
1	2	A	1	N	2500	0	40	36	66	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	24903494	
2	2	A	1	N	2500	0	40	24	43	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	24903494	
3	2	A	1	N	2500	0	40	37	59	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	24904134	
4	2	A	1	N	2500	0	40	27	44	3	4	12	0	0	0	0	0	0	0	0	0	0	0	0	24904165	
5	2	A	1	N	2500	0	40	76	145	20	25	31	0	0	0	0	0	0	0	0	0	0	0	0	24904493	
6	2	A	1	N	2500	0	40	42	73	10	12	10	0	0	0	0	0	0	0	0	0	0	0	0	24904493	
7	2	A	1	N	2500	0	40	29	39	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	24904493	
8	2	A	1	N	2500	0	40	28	52	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24904540	
9	2	A	1	N	2500	0	40	38	35	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24904789	
10	2	A	1	N	2500	0	40	86	79	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	24904836	
11	2	A	1	N	2500	0	40	84	93	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	24904867	
12	2	A	1	N	2500	0	40	66	58	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24905335	
13	2	A	1	N	2500	0	40	20	43	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24905647	
14	2	A	1	N	2500	0	40	20	29	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24905647	
15	2	A	1	N	2500	0	40	49	67	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24905694	
16	2	A	1	N	2500	0	40	62	71	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	24905850	
17	2	A	1	N	2500	0	40	34	61	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24906115	
18	2	A	1	N	2500	0	40	24	43	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	24906224	
19	2	A	1	N	2500	0	40	38	53	5	10	17	0	0	0	0	0	0	0	0	0	0	0	0	24906302	
20	2	A	1	N	2500	0	40	24	29	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24906817	
21	2	A	1	N	2500	0	40	52	63	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	24907160	
22	2	A	1	N	2500	0	40	44	46	8	12	14	0	0	0	0	0	0	0	0	0	0	0	0	24907223	
23	2	A	1	N	2500	0	40	289	905	110	258	499	0	0	0	0	0	0	0	0	0	0	0	0	24907254	
24	2	A	1	N	2500	0	40	290	1402	168	497	1063	0	0	0	0	0	0	0	0	0	0	0	0	24907426	
25	2	A	1	N	2500	0	40	122	209	27	31	36	0	0	0	0	0	0	0	0	0	0	0	0	24907519	
26	2	A	1	N	2500	0	40	50	77	12	17	18	0	0	0	0	0	0	0	0	0	0	0	0	24907519	
27	2	A	1	N	2500	0	40	85	91	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24908081	
28	2	A	1	N	2500	0	40	60	63	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	24908440	
29	2	A	1	N	2500	0	40	45	62	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24908986	
30	2	A	1	N	2500	0	40	26	46	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24909064	
31	2	A	1	N	2500	0	40	65	60	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24909454	
32	2	A	1	N	2500	0	40	44	47	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	24909454	
33	2	A	2	N	2500	0	40	29	25	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	24916770	
34	2	A	2	N	2500	0	40	330	620	56	60	97	0	0	0	0	0	0	0	0	0	0	0	0	24916786	
35	2	A	2	N	2500	0	40	22	37	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	24916848	
36	2	A	2	N	2500	0	40	62	117	60	499	499	0	0	0	0	0	0	0	0	0	0	0	0	24916973	
37	2	A	2	N	2500	0	40	34	50	4	6	17	0	0	0	0	0	0	0	0	0	0	0	0	24917051	
38	2	A	2	N	2500	0	40	238	468	43	37	52	0	0	0	0	0	0	0	0	0	0	0	0	24917222	
39	2	A	2	N	2500	0	40	24	33	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	24917441	
40	2	A	2	N	2500	0	40	310	573	49	50	71	0	0	0	0	0	0	0	0	0	0	0	0	24917456	
41	2	A	2	N	2500	0	40	34	66	4	7	20	0	0	0	0	0	0	0	0	0	0	0	0	24917488	
42	2	A	2	N	2500	0	40	282	484	42	42	70	0	0	0	0	0	0	0	0	0	0	0	0	24917503	
43	2	A	2	N	2500	0	40	291	487	48	37	52	0	0	0	0	0	0	0	0	0	0	0	0	24917550	
44	2	A	2	N	2500	0	40	272	531	43	51	87	0	0	0	0	0	0	0	0	0	0	0	0	24917550	
45	2	A	2	N	2500	0	40	116	147	25	35	50	0	0	0	0	0	0	0	0	0	0	0	0	24917612	
46	2	A	2	N	2500	0	40	43	60	2	5	15	0	0	0	0	0	0	0	0	0	0	0	0	24917628	
47	2	A	2	N	2500	0	40	280	512	57	46	70	0	0	0	0	0	0	0	0	0	0	0	0	24917706	
48	2	A	2	N	2500	0	40	65	134	18	3	6	0	0	0	0	0	0	0	0	0	0	0	0	24917800	
49	2	A	2	N	2500	0	40	101	127	11	12	25	0	0	0	0	0	0	0	0	0	0	0	0	24917815	
50	2	A	2	N	2500	0	40	98	284	28	33	56	0	0	0	0	0	0	0	0	0	0	0	0	24917815	
51	2	A	2	N	2500	0	40	20	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24917831	
52	2	A	2	N	2500	0	40	264	523	51	48	75	0	0	0	0	0	0	0	0	0	0	0	0	24917862	
53	2	A	2	N	2500	0	40	263	466	35	27	39	0	0	0	0	0	0	0	0	0	0	0	0	24918002	
54	2	A	2	N	2500	0	40	69	125	65	557	557	0	0	0	0	0	0	0	0	0	0	0	0	24918018	
55	2	A	2	N	2500	0	40	37	71	6	10	18	0	0	0	0	0	0	0	0	0	0	0	0	24918034	
56	2	A	2	N	2500	0	40	34	52	4	4	7	0	0	0	0	0	0	0	0	0	0	0	0	24918205	
57	2	A	2	N	2500	0	40	47	46	4	10	22	0	0	0	0	0	0	0	0	0	0	0	0	24918221	
58	2	A	2	N	2500	0	40	27	40	3	4	10	0	0	0	0	0	0	0	0	0	0	0	0	24918236	
59	2	A	2	N	2500	0	40	282	482	47	42	71	0	0	0	0	0	0	0	0	0	0	0	0	24918236	
60	2	A	2	N	2500	0	40	35	54	23	277	278	0	0	0	0	0	0	0	0	0	0	0	0	24918252	
61	2	A	2	N	2500	0	40	162	538	48	48	71	0	0	0	0	0	0	0	0	0	0	0	0	24918252	
62	2	A	2	N	2500	0	40	273	548	45	40	70	0	0	0	0	0	0	0	0	0	0	0	0	24918299	
63	2	A	2	N	2500	0	40	296	499	46	44	70	0	0	0	0	0	0	0	0	0	0	0	0	24918377	
