Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	21	20	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8227159	
1	1	A	1	N	2500	0	40	34	50	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8229078	
2	1	A	1	N	2500	0	40	30	85	3	4	11	0	0	0	0	0	0	0	0	0	0	0	0	8230622	
3	1	A	1	N	2500	0	40	36	82	5	4	10	0	0	0	0	0	0	0	0	0	0	0	0	8230747	
4	1	A	1	N	2500	0	40	38	74	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	8233040	
5	1	A	2	N	2500	0	40	57	62	7	8	8	0	0	0	0	0	0	0	0	0	0	0	0	8240560	
6	1	A	2	N	2500	0	40	484	2000	170	247	441	0	0	0	0	0	0	0	0	0	0	0	0	8240606	
7	1	A	2	N	2500	0	40	31	26	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8240622	
8	1	A	2	N	2500	0	40	40	37	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	8240622	
9	1	A	2	N	2500	0	40	97	107	13	15	18	0	0	0	0	0	0	0	0	0	0	0	0	8240622	
10	1	A	2	N	2500	0	40	35	37	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	8240622	
11	1	A	2	N	2500	0	40	58	97	7	11	14	0	0	0	0	0	0	0	0	0	0	0	0	8240762	
12	1	A	2	N	2500	0	40	464	1507	139	409	603	0	0	0	0	0	0	0	0	0	0	0	0	8240762	
13	1	A	2	N	2500	0	40	29	53	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	8240825	
14	1	A	2	N	2500	0	40	364	1914	175	248	427	0	0	0	0	0	0	0	0	0	0	0	0	8240918	
15	1	A	2	N	2500	0	40	26	22	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	8240965	
16	1	A	2	N	2500	0	40	37	39	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8240965	
17	1	A	2	N	2500	0	40	475	1761	150	388	776	0	0	0	0	0	0	0	0	0	0	0	0	8241121	
18	1	A	2	N	2500	0	40	433	1316	102	214	415	0	0	0	0	0	0	0	0	0	0	0	0	8241137	
19	1	A	2	N	2500	0	40	127	141	17	180	414	0	0	0	0	0	0	0	0	0	0	0	0	8241137	
20	1	A	2	N	2500	0	40	475	1554	122	174	288	0	0	0	0	0	0	0	0	0	0	0	0	8241199	
21	1	A	2	N	2500	0	40	26	25	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8241215	
22	1	A	2	N	2500	0	40	137	167	21	22	24	0	0	0	0	0	0	0	0	0	0	0	0	8241324	
23	1	A	2	N	2500	0	40	25	48	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	8241402	
24	1	A	2	N	2500	0	40	384	1505	106	165	296	0	0	0	0	0	0	0	0	0	0	0	0	8241433	
25	1	A	2	N	2500	0	40	438	1680	170	269	467	0	0	0	0	0	0	0	0	0	0	0	0	8241527	
26	1	A	2	N	2500	0	40	96	148	16	19	25	0	0	0	0	0	0	0	0	0	0	0	0	8241542	
27	1	A	2	N	2500	0	40	28	24	3	101	220	0	0	0	0	0	0	0	0	0	0	0	0	8241574	
28	1	A	2	N	2500	0	40	65	111	10	15	18	0	0	0	0	0	0	0	0	0	0	0	0	8241636	
29	1	A	2	N	2500	0	40	217	1350	125	139	219	0	0	0	0	0	0	0	0	0	0	0	0	8241667	
30	1	A	2	N	2500	0	40	284	1095	101	99	125	0	0	0	0	0	0	0	0	0	0	0	0	8241808	
31	1	A	2	N	2500	0	40	403	1941	225	281	479	0	0	0	0	0	0	0	0	0	0	0	0	8241854	
32	1	A	2	N	2500	0	40	21	29	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8241995	
33	1	A	2	N	2500	0	40	427	1346	97	127	232	0	0	0	0	0	0	0	0	0	0	0	0	8242322	
34	1	A	2	N	2500	0	40	145	237	29	37	43	0	0	0	0	0	0	0	0	0	0	0	0	8242463	
35	1	A	2	N	2500	0	40	22	33	5	7	6	0	0	0	0	0	0	0	0	0	0	0	0	8242556	
36	1	A	2	N	2500	0	40	369	1619	139	138	189	0	0	0	0	0	0	0	0	0	0	0	0	8242588	
37	1	A	2	N	2500	0	40	39	38	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8242650	
38	1	A	2	N	2500	0	40	33	29	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8242650	
39	1	A	2	N	2500	0	40	69	101	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	8242884	
40	1	A	2	N	2500	0	40	26	53	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	8242884	
41	1	A	2	N	2500	0	40	84	222	30	38	46	0	0	0	0	0	0	0	0	0	0	0	0	8242915	
42	1	A	2	N	2500	0	40	416	2717	261	243	297	0	0	0	0	0	0	0	0	0	0	0	0	8243056	
43	1	A	2	N	2500	0	40	133	265	28	312	576	0	0	0	0	0	0	0	0	0	0	0	0	8243056	
44	1	A	2	N	2500	0	40	477	2545	232	321	563	0	0	0	0	0	0	0	0	0	0	0	0	8243056	
45	1	A	2	N	2500	0	40	316	1479	108	202	378	0	0	0	0	0	0	0	0	0	0	0	0	8243102	
46	1	A	2	N	2500	0	40	179	302	38	47	54	0	0	0	0	0	0	0	0	0	0	0	0	8243118	
47	1	A	2	N	2500	0	40	459	1180	77	65	74	0	0	0	0	0	0	0	0	0	0	0	0	8243196	
48	1	A	2	N	2500	0	40	386	1634	130	143	208	0	0	0	0	0	0	0	0	0	0	0	0	8243227	
49	1	A	2	N	2500	0	40	460	1515	103	127	189	0	0	0	0	0	0	0	0	0	0	0	0	8243243	
50	1	A	2	N	2500	0	40	397	1556	110	183	324	0	0	0	0	0	0	0	0	0	0	0	0	8243243	
51	1	A	2	N	2500	0	40	107	202	23	216	450	0	0	0	0	0	0	0	0	0	0	0	0	8243258	
52	1	A	2	N	2500	0	40	53	60	5	6	8	0	0	0	0	0	0	0	0	0	0	0	0	8243258	
53	1	A	2	N	2500	0	40	35	65	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8243274	
54	1	A	2	N	2500	0	40	33	61	7	11	14	0	0	0	0	0	0	0	0	0	0	0	0	8243274	
55	1	A	2	N	2500	0	40	23	39	5	9	9	0	0	0	0	0	0	0	0	0	0	0	0	8243274	
56	1	A	2	N	2500	0	40	393	1313	110	313	639	0	0	0	0	0	0	0	0	0	0	0	0	8243274	
57	1	A	2	N	2500	0	40	225	1208	96	116	187	0	0	0	0	0	0	0	0	0	0	0	0	8243352	
58	1	A	2	N	2500	0	40	427	1503	128	422	836	0	0	0	0	0	0	0	0	0	0	0	0	8243368	
59	1	A	2	N	2500	0	40	427	1550	107	197	369	0	0	0	0	0	0	0	0	0	0	0	0	8243368	
60	1	A	2	N	2500	0	40	73	91	12	86	205	0	0	0	0	0	0	0	0	0	0	0	0	8243368	
61	1	A	2	N	2500	0	40	26	23	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8243383	
62	1	A	2	N	2500	0	40	95	203	34	42	50	0	0	0	0	0	0	0	0	0	0	0	0	8243383	
63	1	A	2	N	2500	0	40	20	28	6	8	6	0	0	0	0	0	0	0	0	0	0	0	0	8243414	
64	1	A	2	N	2500	0	40	422	1554	133	496	815	0	0	0	0	0	0	0	0	0	0	0	0	8243492	
65	1	A	2	N	2500	0	40	425	1818	153	511	844	0	0	0	0	0	0	0	0	0	0	0	0	8243508	
66	1	A	2	N	2500	0	40	52	75	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8243555	
67	1	A	2	N	2500	0	40	58	55	6	7	10	0	0	0	0	0	0	0	0	0	0	0	0	8243570	
68	1	A	2	N	2500	0	40	20	16	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	8243617	
69	1	A	2	N	2500	0	40	131	183	22	26	32	0	0	0	0	0	0	0	0	0	0	0	0	8243711	
70	1	A	2	N	2500	0	40	69	163	27	31	39	0	0	0	0	0	0	0	0	0	0	0	0	8243742	
71	1	A	2	N	2500	0	40	65	87	11	33	67	0	0	0	0	0	0	0	0	0	0	0	0	8243789	
72	1	A	2	N	2500	0	40	79	154	19	21	27	0	0	0	0	0	0	0	0	0	0	0	0	8243867	
73	1	A	2	N	2500	0	40	59	54	6	8	13	0	0	0	0	0	0	0	0	0	0	0	0	8243882	
74	1	A	2	N	2500	0	40	79	159	25	28	29	0	0	0	0	0	0	0	0	0	0	0	0	8243882	
75	1	A	2	N	2500	0	40	20	21	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	8243882	
76	1	A	2	N	2500	0	40	55	57	5	18	39	0	0	0	0	0	0	0	0	0	0	0	0	8243976	
77	1	A	2	N	2500	0	40	311	1289	105	160	280	0	0	0	0	0	0	0	0	0	0	0	0	8243976	
78	1	A	2	N	2500	0	40	459	1805	147	227	406	0	0	0	0	0	0	0	0	0	0	0	0	8244038	
79	1	A	2	N	2500	0	40	25	45	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8244038	
80	1	A	2	N	2500	0	40	24	26	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8244054	
81	1	A	2	N	2500	0	40	113	235	26	33	40	0	0	0	0	0	0	0	0	0	0	0	0	8244054	
82	1	A	2	N	2500	0	40	398	1425	96	65	52	0	0	0	0	0	0	0	0	0	0	0	0	8244101	
83	1	A	2	N	2500	0	40	21	25	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8244179	
84	1	A	2	N	2500	0	40	267	1176	95	134	223	0	0	0	0	0	0	0	0	0	0	0	0	8244179	
85	1	A	2	N	2500	0	40	35	81	3	5	8	0	0	0	0	0	0	0	0	0	0	0	0	8244179	
86	1	A	2	N	2500	0	40	34	57	4	5	8	0	0	0	0	0	0	0	0	0	0	0	0	8244241	
87	1	A	2	N	2500	0	40	21	33	6	7	5	0	0	0	0	0	0	0	0	0	0	0	0	8244272	
88	1	A	2	N	2500	0	40	301	1307	95	65	46	0	0	0	0	0	0	0	0	0	0	0	0	8244272	
89	1	A	2	N	2500	0	40	38	34	5	5	6	0	0	0	0	0	0	0	0	0	0	0	0	8244288	
90	1	A	2	N	2500	0	40	449	1787	153	436	879	0	0	0	0	0	0	0	0	0	0	0	0	8244319	
91	1	A	2	N	2500	0	40	413	1723	138	369	596	0	0	0	0	0	0	0	0	0	0	0	0	8244600	
92	1	A	2	N	2500	0	40	426	1753	123	204	368	0	0	0	0	0	0	0	0	0	0	0	0	8244678	
93	1	A	2	N	2500	0	40	350	1343	110	201	389	0	0	0	0	0	0	0	0	0	0	0	0	8244678	
94	1	A	2	N	2500	0	40	27	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8244678	
95	1	A	2	N	2500	0	40	40	48	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	8244694	
96	1	A	2	N	2500	0	40	44	56	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	8244694	
