Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	144	449	17	25	44	0	0	0	0	0	0	0	0	0	0	0	0	22098532	
1	1	A	1	N	2500	0	40	26	28	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	22099031	
2	1	A	1	N	2500	0	40	22	30	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	22099764	
3	1	A	1	N	2500	0	40	33	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22099967	
4	1	A	1	N	2500	0	40	65	93	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	22100482	
5	1	A	1	N	2500	0	40	290	1054	90	92	137	0	0	0	0	0	0	0	0	0	0	0	0	22102401	
6	1	A	1	N	2500	0	40	309	1199	81	51	32	0	0	0	0	0	0	0	0	0	0	0	0	22102853	
7	1	A	1	N	2500	0	40	70	78	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	22103384	
8	1	A	2	N	2500	0	40	99	134	14	48	100	0	0	0	0	0	0	0	0	0	0	0	0	22111589	
9	1	A	2	N	2500	0	40	565	2701	243	251	412	0	0	0	0	0	0	0	0	0	0	0	0	22111620	
10	1	A	2	N	2500	0	40	26	28	15	204	204	0	0	0	0	0	0	0	0	0	0	0	0	22111667	
11	1	A	2	N	2500	0	40	30	42	4	3	6	0	0	0	0	0	0	0	0	0	0	0	0	22111698	
12	1	A	2	N	2500	0	40	374	1680	113	92	97	0	0	0	0	0	0	0	0	0	0	0	0	22111964	
13	1	A	2	N	2500	0	40	43	115	4	6	10	0	0	0	0	0	0	0	0	0	0	0	0	22112026	
14	1	A	2	N	2500	0	40	30	65	11	17	14	0	0	0	0	0	0	0	0	0	0	0	0	22112120	
