Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	2	N	2500	0	40	490	1637	123	522	880	0	0	0	0	0	0	0	0	0	0	0	0	17639170	
1	1	A	2	N	2500	0	40	24	24	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	17639233	
2	1	A	2	N	2500	0	40	53	87	8	10	12	0	0	0	0	0	0	0	0	0	0	0	0	17639233	
3	1	A	2	N	2500	0	40	26	26	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17639311	
4	1	A	2	N	2500	0	40	25	29	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	17639326	
5	1	A	2	N	2500	0	40	349	1657	129	223	435	0	0	0	0	0	0	0	0	0	0	0	0	17639529	
6	1	A	2	N	2500	0	40	302	1455	109	187	358	0	0	0	0	0	0	0	0	0	0	0	0	17639545	
7	1	A	2	N	2500	0	40	446	1651	134	200	367	0	0	0	0	0	0	0	0	0	0	0	0	17639560	
8	1	A	2	N	2500	0	40	430	1607	130	223	444	0	0	0	0	0	0	0	0	0	0	0	0	17639685	
9	1	A	2	N	2500	0	40	70	62	7	6	6	0	0	0	0	0	0	0	0	0	0	0	0	17639716	
10	1	A	2	N	2500	0	40	423	1776	142	263	506	0	0	0	0	0	0	0	0	0	0	0	0	17639826	
11	1	A	2	N	2500	0	40	451	1717	148	278	538	0	0	0	0	0	0	0	0	0	0	0	0	17639857	
12	1	A	2	N	2500	0	40	492	1421	120	188	349	0	0	0	0	0	0	0	0	0	0	0	0	17639904	
13	1	A	2	N	2500	0	40	140	190	19	24	30	0	0	0	0	0	0	0	0	0	0	0	0	17639935	
14	1	A	2	N	2500	0	40	49	53	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	17640028	
15	1	A	2	N	2500	0	40	48	50	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	17640060	
16	1	A	2	N	2500	0	40	30	24	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	17640091	
17	1	A	2	N	2500	0	40	36	31	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0	17640091	
18	1	A	2	N	2500	0	40	45	63	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	17640138	
19	1	A	2	N	2500	0	40	435	2219	213	352	631	0	0	0	0	0	0	0	0	0	0	0	0	17640247	
20	1	A	2	N	2500	0	40	36	32	3	7	10	0	0	0	0	0	0	0	0	0	0	0	0	17640325	
21	1	A	2	N	2500	0	40	33	38	4	6	11	0	0	0	0	0	0	0	0	0	0	0	0	17640403	
22	1	A	2	N	2500	0	40	68	72	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	17640450	
23	1	A	2	N	2500	0	40	81	99	14	18	21	0	0	0	0	0	0	0	0	0	0	0	0	17640450	
24	1	A	2	N	2500	0	40	35	48	3	3	5	0	0	0	0	0	0	0	0	0	0	0	0	17640465	
25	1	A	2	N	2500	0	40	33	52	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	17640481	
26	1	A	2	N	2500	0	40	87	115	11	15	19	0	0	0	0	0	0	0	0	0	0	0	0	17640512	
27	1	A	2	N	2500	0	40	420	1788	129	264	525	0	0	0	0	0	0	0	0	0	0	0	0	17640543	
28	1	A	2	N	2500	0	40	96	194	28	38	39	0	0	0	0	0	0	0	0	0	0	0	0	17640559	
29	1	A	2	N	2500	0	40	22	18	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17640559	
30	1	A	2	N	2500	0	40	26	25	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	17640559	
31	1	A	2	N	2500	0	40	382	1629	127	292	592	0	0	0	0	0	0	0	0	0	0	0	0	17640590	
32	1	A	2	N	2500	0	40	528	2263	186	263	496	0	0	0	0	0	0	0	0	0	0	0	0	17640637	
33	1	A	2	N	2500	0	40	36	58	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	17640652	
34	1	A	2	N	2500	0	40	106	125	20	24	25	0	0	0	0	0	0	0	0	0	0	0	0	17640668	
35	1	A	2	N	2500	0	40	35	41	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	17640684	
36	1	A	2	N	2500	0	40	37	37	4	5	7	0	0	0	0	0	0	0	0	0	0	0	0	17640684	
37	1	A	2	N	2500	0	40	402	1488	115	195	368	0	0	0	0	0	0	0	0	0	0	0	0	17640684	
38	1	A	2	N	2500	0	40	22	20	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17640715	
39	1	A	2	N	2500	0	40	417	1743	167	773	1174	0	0	0	0	0	0	0	0	0	0	0	0	17640777	
40	1	A	2	N	2500	0	40	518	1903	177	259	485	0	0	0	0	0	0	0	0	0	0	0	0	17640840	
41	1	A	2	N	2500	0	40	35	28	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	17640902	
42	1	A	2	N	2500	0	40	51	46	5	7	9	0	0	0	0	0	0	0	0	0	0	0	0	17640902	
43	1	A	2	N	2500	0	40	98	100	7	10	16	0	0	0	0	0	0	0	0	0	0	0	0	17640902	
44	1	A	2	N	2500	0	40	26	31	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	17640964	
45	1	A	2	N	2500	0	40	75	174	14	11	23	0	0	0	0	0	0	0	0	0	0	0	0	17640964	
46	1	A	2	N	2500	0	40	493	1712	120	221	409	0	0	0	0	0	0	0	0	0	0	0	0	17641011	
47	1	A	2	N	2500	0	40	28	50	11	16	14	0	0	0	0	0	0	0	0	0	0	0	0	17641089	
48	1	A	2	N	2500	0	40	43	94	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	17641089	
49	1	A	2	N	2500	0	40	20	30	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	17641245	
50	1	A	2	N	2500	0	40	432	1703	149	231	426	0	0	0	0	0	0	0	0	0	0	0	0	17641245	
51	1	A	2	N	2500	0	40	33	39	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17641323	
52	1	A	2	N	2500	0	40	57	63	4	5	9	0	0	0	0	0	0	0	0	0	0	0	0	17641323	
53	1	A	2	N	2500	0	40	50	67	5	5	9	0	0	0	0	0	0	0	0	0	0	0	0	17641323	
54	1	A	2	N	2500	0	40	28	56	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	17641401	
55	1	A	2	N	2500	0	40	28	88	9	9	12	0	0	0	0	0	0	0	0	0	0	0	0	17641432	
56	1	A	2	N	2500	0	40	532	2601	219	276	469	0	0	0	0	0	0	0	0	0	0	0	0	17641479	
57	1	A	2	N	2500	0	40	25	20	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	17641479	
58	1	A	2	N	2500	0	40	29	35	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	17641588	
59	1	A	2	N	2500	0	40	117	204	19	11	16	0	0	0	0	0	0	0	0	0	0	0	0	17641588	
60	1	A	2	N	2500	0	40	25	31	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17641588	
61	1	A	2	N	2500	0	40	30	30	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	17641588	
62	1	A	2	N	2500	0	40	48	89	34	42	49	0	0	0	0	0	0	0	0	0	0	0	0	17641682	
63	1	A	2	N	2500	0	40	42	81	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	17641698	
64	1	A	2	N	2500	0	40	91	131	14	19	26	0	0	0	0	0	0	0	0	0	0	0	0	17641698	
