Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	28	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32727096	
1	1	A	1	N	2500	0	40	30	44	2	16	41	0	0	0	0	0	0	0	0	0	0	0	0	32728718	
2	1	A	1	N	2500	0	40	54	87	3	4	8	0	0	0	0	0	0	0	0	0	0	0	0	32729093	
3	1	A	1	N	2500	0	40	30	47	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32729295	
4	1	A	1	N	2500	0	40	363	1654	166	155	197	0	0	0	0	0	0	0	0	0	0	0	0	32729623	
5	1	A	1	N	2500	0	40	34	41	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	32729623	
6	1	A	1	N	2500	0	40	68	290	37	19	14	0	0	0	0	0	0	0	0	0	0	0	0	32729623	
7	1	A	1	N	2500	0	40	23	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32729748	
8	1	A	1	N	2500	0	40	41	133	18	5	7	0	0	0	0	0	0	0	0	0	0	0	0	32730013	
9	1	A	1	N	2500	0	40	49	116	40	370	393	0	0	0	0	0	0	0	0	0	0	0	0	32730091	
10	1	A	1	N	2500	0	40	33	94	7	3	5	0	0	0	0	0	0	0	0	0	0	0	0	32730153	
11	1	A	1	N	2500	0	40	29	46	11	216	229	0	0	0	0	0	0	0	0	0	0	0	0	32730403	
12	1	A	1	N	2500	0	40	50	67	27	401	401	0	0	0	0	0	0	0	0	0	0	0	0	32731604	
13	1	A	1	N	2500	0	40	22	25	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32732025	
14	1	A	1	N	2500	0	40	42	51	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	32732400	
15	1	A	1	N	2500	0	40	35	37	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	32732571	
16	1	A	1	N	2500	0	40	23	38	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	32732821	
17	1	A	1	N	2500	0	40	30	45	8	10	9	0	0	0	0	0	0	0	0	0	0	0	0	32733351	
18	1	A	2	N	2500	0	40	304	1712	156	447	973	0	0	0	0	0	0	0	0	0	0	0	0	32740793	
19	1	A	2	N	2500	0	40	29	54	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	32740793	
20	1	A	2	N	2500	0	40	38	36	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	32740808	
21	1	A	2	N	2500	0	40	22	37	16	23	21	0	0	0	0	0	0	0	0	0	0	0	0	32740824	
22	1	A	2	N	2500	0	40	480	1932	136	303	647	0	0	0	0	0	0	0	0	0	0	0	0	32740871	
