Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	60	238	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8765501	
1	1	A	1	N	2500	0	40	264	1315	102	63	133	0	0	0	0	0	0	0	0	0	0	0	0	8766562	
2	1	A	1	N	2500	0	40	119	207	10	10	18	0	0	0	0	0	0	0	0	0	0	0	0	8766718	
3	1	A	1	N	2500	0	40	313	1201	75	44	53	0	0	0	0	0	0	0	0	0	0	0	0	8766858	
4	1	A	1	N	2500	0	40	298	1277	79	52	73	0	0	0	0	0	0	0	0	0	0	0	0	8767607	
5	1	A	1	N	2500	0	40	469	1511	101	41	51	0	0	0	0	0	0	0	0	0	0	0	0	8767716	
6	1	A	1	N	2500	0	40	258	1074	83	46	55	0	0	0	0	0	0	0	0	0	0	0	0	8767950	
7	1	A	1	N	2500	0	40	245	1345	100	45	63	0	0	0	0	0	0	0	0	0	0	0	0	8768465	
8	1	A	1	N	2500	0	40	275	1443	87	79	171	0	0	0	0	0	0	0	0	0	0	0	0	8768622	
9	1	A	1	N	2500	0	40	419	1269	75	38	55	0	0	0	0	0	0	0	0	0	0	0	0	8769028	
10	1	A	1	N	2500	0	40	197	965	77	137	430	0	0	0	0	0	0	0	0	0	0	0	0	8769075	
11	1	A	1	N	2500	0	40	285	1330	94	48	67	0	0	0	0	0	0	0	0	0	0	0	0	8769090	
12	1	A	1	N	2500	0	40	473	1429	95	188	567	0	0	0	0	0	0	0	0	0	0	0	0	8769527	
13	1	A	1	N	2500	0	40	365	1446	98	42	50	0	0	0	0	0	0	0	0	0	0	0	0	8769823	
14	1	A	1	N	2500	0	40	424	1321	73	40	49	0	0	0	0	0	0	0	0	0	0	0	0	8769839	
15	1	A	1	N	2500	0	40	241	1148	83	46	57	0	0	0	0	0	0	0	0	0	0	0	0	8770135	
16	1	A	1	N	2500	0	40	236	1239	85	47	68	0	0	0	0	0	0	0	0	0	0	0	0	8770229	
17	1	A	1	N	2500	0	40	499	1511	93	43	61	0	0	0	0	0	0	0	0	0	0	0	0	8770307	
18	1	A	1	N	2500	0	40	236	1085	65	38	44	0	0	0	0	0	0	0	0	0	0	0	0	8770338	
19	1	A	1	N	2500	0	40	462	1437	82	34	43	0	0	0	0	0	0	0	0	0	0	0	0	8770510	
20	1	A	1	N	2500	0	40	404	1204	80	127	402	0	0	0	0	0	0	0	0	0	0	0	0	8770588	
21	1	A	1	N	2500	0	40	22	23	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8770666	
22	1	A	1	N	2500	0	40	540	2259	173	256	739	0	0	0	0	0	0	0	0	0	0	0	0	8770729	
23	1	A	1	N	2500	0	40	20	17	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	8770807	
24	1	A	1	N	2500	0	40	471	1144	64	37	64	0	0	0	0	0	0	0	0	0	0	0	0	8770838	
25	1	A	1	N	2500	0	40	486	1464	82	38	59	0	0	0	0	0	0	0	0	0	0	0	0	8770963	
26	1	A	1	N	2500	0	40	236	1268	87	171	555	0	0	0	0	0	0	0	0	0	0	0	0	8771150	
27	1	A	1	N	2500	0	40	470	1266	80	41	64	0	0	0	0	0	0	0	0	0	0	0	0	8771306	
28	1	A	1	N	2500	0	40	465	1156	62	30	49	0	0	0	0	0	0	0	0	0	0	0	0	8771978	
29	1	A	1	N	2500	0	40	289	1487	97	69	93	0	0	0	0	0	0	0	0	0	0	0	0	8772399	
30	1	A	1	N	2500	0	40	31	38	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	8772633	
31	1	A	1	N	2500	0	40	289	1134	85	54	76	0	0	0	0	0	0	0	0	0	0	0	0	8772836	
32	1	A	1	N	2500	0	40	198	327	13	15	35	0	0	0	0	0	0	0	0	0	0	0	0	8773039	
33	1	B	1	N	2500	6	40	307	1317	87	39	53	0	0	0	0	0	0	0	0	0	0	0	0	8779857	
34	1	B	1	N	2500	0	40	48	70	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8779873	
35	1	B	1	N	2500	0	40	500	1543	89	40	46	0	0	0	0	0	0	0	0	0	0	0	0	8779966	
36	1	B	1	N	2500	0	40	27	28	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8780278	
37	1	B	1	N	2500	0	40	57	50	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8780825	
38	1	B	1	N	2500	0	40	184	203	12	5	18	0	0	0	0	0	0	0	0	0	0	0	0	8780825	
39	1	B	1	N	2500	0	40	26	46	12	15	16	0	0	0	0	0	0	0	0	0	0	0	0	8780919	
40	1	B	1	N	2500	0	40	505	1446	105	43	52	0	0	0	0	0	0	0	0	0	0	0	0	8781418	
41	1	B	1	N	2500	0	40	504	1589	99	87	188	0	0	0	0	0	0	0	0	0	0	0	0	8781574	
42	1	B	1	N	2500	0	40	20	18	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8781902	
43	1	B	1	N	2500	0	40	33	53	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	8782214	
44	1	B	1	N	2500	0	40	285	1394	89	49	62	0	0	0	0	0	0	0	0	0	0	0	0	8782229	
45	1	B	1	N	2500	0	40	273	1573	112	340	996	0	0	0	0	0	0	0	0	0	0	0	0	8782292	
46	1	B	1	N	2500	0	40	278	1333	93	44	58	0	0	0	0	0	0	0	0	0	0	0	0	8782354	
47	1	B	1	N	2500	0	40	438	1285	70	28	35	0	0	0	0	0	0	0	0	0	0	0	0	8782978	
48	1	B	1	N	2500	0	40	44	62	4	5	15	0	0	0	0	0	0	0	0	0	0	0	0	8783087	
49	1	B	1	N	2500	0	40	27	61	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8783337	
50	1	B	1	N	2500	0	40	341	1396	96	53	71	0	0	0	0	0	0	0	0	0	0	0	0	8783868	
51	1	B	1	N	2500	0	40	456	1275	67	30	32	0	0	0	0	0	0	0	0	0	0	0	0	8784227	
52	1	B	1	N	2500	0	40	73	233	20	16	22	0	0	0	0	0	0	0	0	0	0	0	0	8784258	
53	1	B	1	N	2500	0	40	240	1250	101	114	333	0	0	0	0	0	0	0	0	0	0	0	0	8784305	
54	1	B	1	N	2500	0	40	337	1388	90	98	272	0	0	0	0	0	0	0	0	0	0	0	0	8784555	
55	1	B	1	N	2500	0	40	48	62	3	4	12	0	0	0	0	0	0	0	0	0	0	0	0	8784586	
56	1	B	1	N	2500	0	40	329	1333	103	51	73	0	0	0	0	0	0	0	0	0	0	0	0	8784680	
57	1	B	1	N	2500	0	40	463	1218	64	33	49	0	0	0	0	0	0	0	0	0	0	0	0	8784695	
58	1	B	1	N	2500	0	40	462	1234	62	29	36	0	0	0	0	0	0	0	0	0	0	0	0	8784695	
59	1	B	1	N	2500	0	40	375	1546	99	56	88	0	0	0	0	0	0	0	0	0	0	0	0	8784851	
60	1	B	1	N	2500	0	40	403	1289	99	54	81	0	0	0	0	0	0	0	0	0	0	0	0	8784867	
61	1	B	1	N	2500	0	40	448	1559	96	362	1233	0	0	0	0	0	0	0	0	0	0	0	0	8784992	
62	1	B	1	N	2500	0	40	504	1581	94	129	364	0	0	0	0	0	0	0	0	0	0	0	0	8785007	
63	1	B	1	N	2500	0	40	460	1470	89	160	509	0	0	0	0	0	0	0	0	0	0	0	0	8785085	
64	1	B	1	N	2500	0	40	29	52	3	4	15	0	0	0	0	0	0	0	0	0	0	0	0	8785335	
65	1	B	1	N	2500	0	40	219	576	20	42	142	0	0	0	0	0	0	0	0	0	0	0	0	8785366	
66	1	B	1	N	2500	0	40	35	33	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8785772	
67	1	B	1	N	2500	0	40	502	1426	95	37	37	0	0	0	0	0	0	0	0	0	0	0	0	8785850	
68	1	B	1	N	2500	0	40	21	23	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8786006	
69	1	B	1	N	2500	0	40	424	1179	76	44	63	0	0	0	0	0	0	0	0	0	0	0	0	8786084	
70	1	B	1	N	2500	0	40	372	1438	91	65	129	0	0	0	0	0	0	0	0	0	0	0	0	8786162	
71	1	B	1	N	2500	0	40	22	38	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8786177	
72	1	B	1	N	2500	0	40	48	78	5	6	10	0	0	0	0	0	0	0	0	0	0	0	0	8786380	
73	1	B	1	N	2500	0	40	58	81	4	4	11	0	0	0	0	0	0	0	0	0	0	0	0	8786380	
74	1	B	1	N	2500	0	40	40	56	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8786380	
75	1	B	1	N	2500	0	40	24	24	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8786380	
76	1	B	1	N	2500	0	40	57	106	5	7	13	0	0	0	0	0	0	0	0	0	0	0	0	8786849	
77	1	B	1	N	2500	0	40	56	55	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8786849	
78	1	B	1	N	2500	0	40	32	38	3	3	7	0	0	0	0	0	0	0	0	0	0	0	0	8786849	
79	1	B	1	N	2500	0	40	292	1414	96	44	56	0	0	0	0	0	0	0	0	0	0	0	0	8786943	
80	1	B	1	N	2500	0	40	33	32	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	8787021	
81	1	C	1	N	2500	6	40	21	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8793917	
82	1	C	1	N	2500	0	40	92	633	16	4	13	0	0	0	0	0	0	0	0	0	0	0	0	8794057	
83	1	C	1	N	2500	0	40	21	31	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8794151	
84	1	C	1	N	2500	0	40	454	1305	73	36	41	0	0	0	0	0	0	0	0	0	0	0	0	8794260	
85	1	C	1	N	2500	0	40	76	247	28	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8794510	
86	1	C	1	N	2500	0	40	429	1398	94	48	66	0	0	0	0	0	0	0	0	0	0	0	0	8794681	
87	1	C	1	N	2500	0	40	465	1197	68	32	35	0	0	0	0	0	0	0	0	0	0	0	0	8794681	
88	1	C	1	N	2500	0	40	459	1321	80	53	84	0	0	0	0	0	0	0	0	0	0	0	0	8794837	
89	1	C	1	N	2500	0	40	23	37	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8794853	
90	1	C	1	N	2500	0	40	458	1422	76	39	53	0	0	0	0	0	0	0	0	0	0	0	0	8794900	
91	1	C	1	N	2500	0	40	491	1525	86	79	189	0	0	0	0	0	0	0	0	0	0	0	0	8795071	
92	1	C	1	N	2500	0	40	315	1394	102	48	61	0	0	0	0	0	0	0	0	0	0	0	0	8795993	
93	1	C	1	N	2500	0	40	92	147	11	121	413	0	0	0	0	0	0	0	0	0	0	0	0	8796039	
94	1	C	1	N	2500	0	40	466	1449	90	42	51	0	0	0	0	0	0	0	0	0	0	0	0	8796055	
95	1	C	1	N	2500	0	40	267	1311	96	135	400	0	0	0	0	0	0	0	0	0	0	0	0	8796180	
96	1	C	1	N	2500	0	40	308	1001	87	44	59	0	0	0	0	0	0	0	0	0	0	0	0	8796617	
97	1	C	1	N	2500	0	40	320	1348	88	46	59	0	0	0	0	0	0	0	0	0	0	0	0	8796679	
98	1	C	1	N	2500	0	40	248	1292	84	41	49	0	0	0	0	0	0	0	0	0	0	0	0	8796695	
99	1	C	1	N	2500	0	40	20	19	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8796866	
100	1	C	1	N	2500	0	40	522	1614	113	60	114	0	0	0	0	0	0	0	0	0	0	0	0	8797209	
101	1	C	1	N	2500	0	40	210	1589	295	13	38	0	0	0	0	0	0	0	0	0	0	0	0	8797319	
102	1	C	1	N	2500	0	40	441	1372	78	39	57	0	0	0	0	0	0	0	0	0	0	0	0	8797428	
103	1	C	1	N	2500	0	40	431	1311	76	30	42	0	0	0	0	0	0	0	0	0	0	0	0	8797943	
104	1	C	1	N	2500	0	40	38	50	3	5	12	0	0	0	0	0	0	0	0	0	0	0	0	8797974	
105	1	C	1	N	2500	0	40	308	1597	121	441	1009	0	0	0	0	0	0	0	0	0	0	0	0	8798177	
106	1	C	1	N	2500	0	40	237	1246	80	35	34	0	0	0	0	0	0	0	0	0	0	0	0	8798364	
107	1	C	1	N	2500	0	40	482	1565	97	149	453	0	0	0	0	0	0	0	0	0	0	0	0	8798568	
108	1	C	1	N	2500	0	40	308	1454	98	43	43	0	0	0	0	0	0	0	0	0	0	0	0	8798630	
109	1	C	1	N	2500	0	40	345	1497	104	47	63	0	0	0	0	0	0	0	0	0	0	0	0	8798755	
110	1	C	1	N	2500	0	40	953	2975	156	60	85	0	0	0	0	0	0	0	0	0	0	0	0	8798880	
111	1	C	1	N	2500	0	40	456	1441	89	38	51	0	0	0	0	0	0	0	0	0	0	0	0	8798958	
112	1	C	1	N	2500	0	40	326	1474	96	48	64	0	0	0	0	0	0	0	0	0	0	0	0	8799176	
113	1	C	1	N	2500	0	40	322	1372	113	67	127	0	0	0	0	0	0	0	0	0	0	0	0	8799270	
114	1	C	1	N	2500	0	40	270	1386	83	46	47	0	0	0	0	0	0	0	0	0	0	0	0	8799316	
115	1	C	1	N	2500	0	40	457	1237	70	41	67	0	0	0	0	0	0	0	0	0	0	0	0	8799363	
116	1	C	1	N	2500	0	40	42	40	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8799394	
117	1	C	1	N	2500	0	40	325	1249	92	50	61	0	0	0	0	0	0	0	0	0	0	0	0	8799394	
118	1	C	1	N	2500	0	40	81	97	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8799613	
119	1	C	1	N	2500	0	40	257	969	87	44	55	0	0	0	0	0	0	0	0	0	0	0	0	8799613	
120	1	C	1	N	2500	0	40	420	1212	71	25	33	0	0	0	0	0	0	0	0	0	0	0	0	8799847	
121	1	C	1	N	2500	0	40	411	610	14	6	26	0	0	0	0	0	0	0	0	0	0	0	0	8800050	
122	1	C	1	N	2500	0	40	71	96	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8800050	
123	1	C	1	N	2500	0	40	40	40	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8800050	
124	1	C	1	N	2500	0	40	40	40	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8800050	
125	1	C	1	N	2500	0	40	201	588	11	6	17	0	0	0	0	0	0	0	0	0	0	0	0	8800050	
126	1	C	1	N	2500	0	40	494	1423	101	34	37	0	0	0	0	0	0	0	0	0	0	0	0	8800081	
127	1	C	1	N	2500	0	40	427	1326	81	26	29	0	0	0	0	0	0	0	0	0	0	0	0	8800362	
128	1	C	1	N	2500	0	40	470	1394	79	46	76	0	0	0	0	0	0	0	0	0	0	0	0	8800377	
129	1	C	1	N	2500	0	40	22	22	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	8800642	
130	1	C	1	N	2500	0	40	426	1239	84	95	278	0	0	0	0	0	0	0	0	0	0	0	0	8800689	
131	1	C	1	N	2500	0	40	519	1587	96	107	312	0	0	0	0	0	0	0	0	0	0	0	0	8800752	
132	1	C	1	N	2500	0	40	238	1287	81	40	38	0	0	0	0	0	0	0	0	0	0	0	0	8800783	
133	1	C	1	N	2500	0	40	21	31	13	14	12	0	0	0	0	0	0	0	0	0	0	0	0	8801516	
134	1	D	1	N	2500	6	40	54	111	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8808242	
135	1	D	1	N	2500	0	40	354	366	18	13	29	0	0	0	0	0	0	0	0	0	0	0	0	8808335	
136	1	D	1	N	2500	0	40	57	70	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8808398	
