Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	251	495	19	8	22	0	0	0	0	0	0	0	0	0	0	0	0	8456835	
1	1	A	2	N	2500	6	40	25	23	1	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8464936	
2	1	A	2	N	2500	0	40	23	23	1	2	10	0	0	0	0	0	0	0	0	0	0	0	0	8467168	
3	1	A	2	N	2500	0	40	25	29	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8467371	
4	1	A	2	N	2500	0	40	30	27	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8468869	
5	1	A	2	N	2500	0	40	30	39	2	5	14	0	0	0	0	0	0	0	0	0	0	0	0	8471849	
6	1	A	3	N	2500	6	40	25	59	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8478590	
7	1	A	3	N	2500	0	40	36	118	16	1	6	0	0	0	0	0	0	0	0	0	0	0	0	8478856	
8	1	A	3	N	2500	0	40	25	31	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	8479403	
9	1	A	3	N	2500	0	40	210	309	13	15	60	0	0	0	0	0	0	0	0	0	0	0	0	8480807	
10	1	A	3	N	2500	0	40	254	441	26	12	36	0	0	0	0	0	0	0	0	0	0	0	0	8480900	
11	1	A	3	N	2500	0	40	32	58	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	8483070	
12	1	A	3	N	2500	0	40	21	30	2	3	11	0	0	0	0	0	0	0	0	0	0	0	0	8483366	
13	1	A	3	N	2500	0	40	26	29	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8484147	
14	1	A	3	N	2500	0	40	36	53	3	4	16	0	0	0	0	0	0	0	0	0	0	0	0	8484194	
15	1	A	3	N	2500	0	40	20	21	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8484989	
16	1	A	3	N	2500	0	40	24	27	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8485769	
17	1	A	3	N	2500	0	40	21	24	1	3	12	0	0	0	0	0	0	0	0	0	0	0	0	8485832	
18	1	A	4	N	2500	6	40	44	40	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8495039	
19	1	A	4	N	2500	0	40	45	79	5	4	6	0	0	0	0	0	0	0	0	0	0	0	0	8495819	
20	1	A	4	N	2500	0	40	39	58	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8496927	
21	1	A	4	N	2500	0	40	216	405	17	12	41	0	0	0	0	0	0	0	0	0	0	0	0	8497988	
22	1	A	5	N	2500	6	40	20	23	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8509956	
23	1	A	5	N	2500	0	40	56	71	4	7	24	0	0	0	0	0	0	0	0	0	0	0	0	8511516	
24	1	A	5	N	2500	0	40	45	75	5	9	29	0	0	0	0	0	0	0	0	0	0	0	0	8511860	
25	1	A	5	N	2500	0	40	33	46	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8513295	
26	1	A	5	N	2500	0	40	21	26	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8513373	
27	1	A	5	N	2500	0	40	36	41	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8513638	
28	1	A	5	N	2500	0	40	24	41	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8513888	
29	1	A	5	N	2500	0	40	33	58	4	14	48	0	0	0	0	0	0	0	0	0	0	0	0	8514591	
30	1	A	6	N	2500	6	40	24	28	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8522735	
31	1	A	6	N	2500	0	40	24	26	2	3	11	0	0	0	0	0	0	0	0	0	0	0	0	8523781	
32	1	A	6	N	2500	0	40	29	38	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8523781	
33	1	A	6	N	2500	0	40	20	25	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8525825	
34	1	A	6	N	2500	0	40	23	35	2	6	22	0	0	0	0	0	0	0	0	0	0	0	0	8526184	
35	1	A	6	N	2500	0	40	57	99	6	6	22	0	0	0	0	0	0	0	0	0	0	0	0	8526590	
36	1	A	6	N	2500	0	40	285	876	15	36	127	0	0	0	0	0	0	0	0	0	0	0	0	8526746	
37	1	A	6	N	2500	0	40	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8526746	
38	1	A	6	N	2500	0	40	142	398	6	8	28	0	0	0	0	0	0	0	0	0	0	0	0	8526746	
39	1	A	6	N	2500	0	40	22	28	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	8527916	
40	1	A	7	N	2500	6	40	23	29	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8535905	
41	1	A	7	N	2500	0	40	26	28	1	3	11	0	0	0	0	0	0	0	0	0	0	0	0	8537153	
42	1	A	7	N	2500	0	40	24	28	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8538839	
43	1	A	7	N	2500	0	40	26	40	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	8538948	
44	1	A	7	N	2500	0	40	23	42	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8540149	
45	1	A	7	N	2500	0	40	304	596	25	22	57	0	0	0	0	0	0	0	0	0	0	0	0	8542116	
46	1	A	7	N	2500	0	40	278	564	31	25	76	0	0	0	0	0	0	0	0	0	0	0	0	8542334	
47	1	A	7	N	2500	0	40	26	24	0	4	14	0	0	0	0	0	0	0	0	0	0	0	0	8542584	
48	1	A	7	N	2500	0	40	37	49	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	8542584	
49	1	A	8	N	2500	6	40	502	1583	60	199	674	0	0	0	0	0	0	0	0	0	0	0	0	8550979	
50	1	A	8	N	2500	0	40	64	125	4	6	19	0	0	0	0	0	0	0	0	0	0	0	0	8550979	
51	1	A	8	N	2500	0	40	31	49	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	8551712	
52	1	A	8	N	2500	0	40	290	716	38	22	65	0	0	0	0	0	0	0	0	0	0	0	0	8552476	
53	1	A	8	N	2500	0	40	522	1629	58	81	212	0	0	0	0	0	0	0	0	0	0	0	0	8553303	
54	1	A	8	N	2500	0	40	389	1053	58	58	153	0	0	0	0	0	0	0	0	0	0	0	0	8554552	
55	1	A	8	N	2500	0	40	45	59	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	8554568	
56	1	A	8	N	2500	0	40	24	27	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8556377	
57	1	A	9	N	2500	6	40	229	432	23	15	29	0	0	0	0	0	0	0	0	0	0	0	0	8565148	
58	1	A	9	N	2500	0	40	53	48	3	5	9	0	0	0	0	0	0	0	0	0	0	0	0	8565725	
59	1	A	9	N	2500	0	40	66	308	20	22	48	0	0	0	0	0	0	0	0	0	0	0	0	8566208	
60	1	A	9	N	2500	0	40	27	28	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8567082	
61	1	A	9	N	2500	0	40	329	637	52	33	113	0	0	0	0	0	0	0	0	0	0	0	0	8568299	
62	1	A	10	N	2500	6	40	28	65	2	4	11	0	0	0	0	0	0	0	0	0	0	0	0	8578706	
63	1	A	10	N	2500	0	40	66	82	14	3	15	0	0	0	0	0	0	0	0	0	0	0	0	8580392	
64	1	A	10	N	2500	0	40	21	24	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	8580782	
65	1	A	10	N	2500	0	40	55	120	9	10	17	0	0	0	0	0	0	0	0	0	0	0	0	8582732	
66	1	A	10	N	2500	0	40	20	21	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8585104	
67	1	A	10	N	2500	0	40	22	31	5	6	9	0	0	0	0	0	0	0	0	0	0	0	0	8585369	
68	1	A	11	N	2500	6	40	20	31	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	8593671	
69	1	A	11	N	2500	0	40	409	1401	85	74	175	0	0	0	0	0	0	0	0	0	0	0	0	8593920	
70	1	A	11	N	2500	0	40	83	132	5	4	13	0	0	0	0	0	0	0	0	0	0	0	0	8594887	
71	1	A	11	N	2500	0	40	63	70	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8597696	
72	1	A	12	N	2500	6	40	61	96	5	5	8	0	0	0	0	0	0	0	0	0	0	0	0	8609197	
73	1	A	12	N	2500	0	40	22	23	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	8609633	
74	1	A	12	N	2500	0	40	36	47	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	8611023	
75	1	A	12	N	2500	0	40	37	59	3	50	199	0	0	0	0	0	0	0	0	0	0	0	0	8611366	
76	1	A	12	N	2500	0	40	83	121	5	4	9	0	0	0	0	0	0	0	0	0	0	0	0	8612068	
77	1	A	12	N	2500	0	40	35	39	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	8612879	
78	1	A	12	N	2500	0	40	24	32	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	8613020	
79	1	A	12	N	2500	0	40	33	31	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	8613971	
80	1	B	12	N	2500	6	40	38	59	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	8621259	
81	1	B	12	N	2500	0	40	301	705	34	26	64	0	0	0	0	0	0	0	0	0	0	0	0	8623819	
82	1	B	12	N	2500	0	40	248	407	16	10	32	0	0	0	0	0	0	0	0	0	0	0	0	8623819	
83	1	B	12	N	2500	0	40	70	121	13	3	15	0	0	0	0	0	0	0	0	0	0	0	0	8624926	
84	1	B	12	N	2500	0	40	70	114	6	7	12	0	0	0	0	0	0	0	0	0	0	0	0	8627188	
85	1	B	12	N	2500	0	40	28	40	18	19	11	0	0	0	0	0	0	0	0	0	0	0	0	8627220	
86	1	B	12	N	2500	0	40	26	40	2	6	21	0	0	0	0	0	0	0	0	0	0	0	0	8628172	
87	1	B	11	N	2500	6	40	61	55	5	1	7	0	0	0	0	0	0	0	0	0	0	0	0	8635817	
88	1	B	11	N	2500	0	40	361	526	31	30	101	0	0	0	0	0	0	0	0	0	0	0	0	8636519	
89	1	B	11	N	2500	0	40	355	452	27	41	153	0	0	0	0	0	0	0	0	0	0	0	0	8637628	
90	1	B	11	N	2500	0	40	54	84	2	4	15	0	0	0	0	0	0	0	0	0	0	0	0	8639110	
91	1	B	11	N	2500	0	40	289	698	35	22	68	0	0	0	0	0	0	0	0	0	0	0	0	8640530	
92	1	B	11	N	2500	0	40	99	122	3	8	34	0	0	0	0	0	0	0	0	0	0	0	0	8640780	
93	1	B	11	N	2500	0	40	65	81	2	6	21	0	0	0	0	0	0	0	0	0	0	0	0	8641092	
94	1	B	11	N	2500	0	40	20	27	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8641966	
95	1	B	11	N	2500	0	40	320	882	54	55	156	0	0	0	0	0	0	0	0	0	0	0	0	8642512	
96	1	B	10	N	2500	6	40	302	736	40	50	153	0	0	0	0	0	0	0	0	0	0	0	0	8651125	
97	1	B	10	N	2500	0	40	56	74	9	3	17	0	0	0	0	0	0	0	0	0	0	0	0	8651484	
98	1	B	10	N	2500	0	40	25	28	1	4	13	0	0	0	0	0	0	0	0	0	0	0	0	8656493	
99	1	B	9	N	2500	6	40	39	48	2	4	14	0	0	0	0	0	0	0	0	0	0	0	0	8664841	
100	1	B	9	N	2500	0	40	28	34	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8666386	
101	1	B	9	N	2500	0	40	31	33	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8666386	
102	1	B	9	N	2500	0	40	22	28	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	8666994	
103	1	B	9	N	2500	0	40	146	339	10	11	28	0	0	0	0	0	0	0	0	0	0	0	0	8668305	
104	1	B	9	N	2500	0	40	37	39	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8669319	
105	1	B	9	N	2500	0	40	24	36	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	8669694	
106	1	B	9	N	2500	0	40	25	24	1	3	12	0	0	0	0	0	0	0	0	0	0	0	0	8669943	
107	1	B	9	N	2500	0	40	33	45	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	8670209	
108	1	B	8	N	2500	6	40	32	48	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8680243	
109	1	B	8	N	2500	0	40	20	26	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8680727	
110	1	B	8	N	2500	0	40	60	121	6	7	13	0	0	0	0	0	0	0	0	0	0	0	0	8680899	
111	1	B	8	N	2500	0	40	28	26	1	4	15	0	0	0	0	0	0	0	0	0	0	0	0	8681725	
112	1	B	8	N	2500	0	40	21	18	1	3	13	0	0	0	0	0	0	0	0	0	0	0	0	8681991	
113	1	B	8	N	2500	0	40	82	159	5	6	19	0	0	0	0	0	0	0	0	0	0	0	0	8682864	
114	1	B	8	N	2500	0	40	50	68	4	4	11	0	0	0	0	0	0	0	0	0	0	0	0	8683020	
115	1	B	8	N	2500	0	40	316	574	24	39	131	0	0	0	0	0	0	0	0	0	0	0	0	8683067	
116	1	B	8	N	2500	0	40	80	135	6	1	7	0	0	0	0	0	0	0	0	0	0	0	0	8683270	
117	1	B	8	N	2500	0	40	293	667	43	38	124	0	0	0	0	0	0	0	0	0	0	0	0	8683847	
118	1	B	7	N	2500	6	40	21	22	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8693522	
119	1	B	7	N	2500	0	40	238	393	16	10	32	0	0	0	0	0	0	0	0	0	0	0	0	8693585	
120	1	B	7	N	2500	0	40	182	479	20	15	37	0	0	0	0	0	0	0	0	0	0	0	0	8693928	
121	1	B	7	N	2500	0	40	23	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8694084	
122	1	B	7	N	2500	0	40	27	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8697141	
123	1	B	7	N	2500	0	40	315	649	44	41	118	0	0	0	0	0	0	0	0	0	0	0	0	8698063	
124	1	B	7	N	2500	0	40	31	56	23	29	32	0	0	0	0	0	0	0	0	0	0	0	0	8698562	
125	1	B	7	N	2500	0	40	323	417	24	22	76	0	0	0	0	0	0	0	0	0	0	0	0	8698843	
126	1	B	6	N	2500	6	40	33	39	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8706020	
127	1	B	6	N	2500	0	40	261	549	25	18	54	0	0	0	0	0	0	0	0	0	0	0	0	8707518	
128	1	B	6	N	2500	0	40	24	42	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	8708985	
129	1	B	6	N	2500	0	40	47	82	4	7	13	0	0	0	0	0	0	0	0	0	0	0	0	8710655	
130	1	B	6	N	2500	0	40	22	23	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	8713105	
131	1	B	5	N	2500	6	40	20	24	1	3	11	0	0	0	0	0	0	0	0	0	0	0	0	8722920	
132	1	B	5	N	2500	0	40	27	43	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8723325	
133	1	B	5	N	2500	0	40	25	35	2	4	13	0	0	0	0	0	0	0	0	0	0	0	0	8725495	
134	1	B	5	N	2500	0	40	23	23	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	8725697	
135	1	B	5	N	2500	0	40	29	46	3	3	8	0	0	0	0	0	0	0	0	0	0	0	0	8727008	
136	1	B	4	N	2500	6	40	26	42	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8736200	
137	1	B	4	N	2500	0	40	39	46	3	6	15	0	0	0	0	0	0	0	0	0	0	0	0	8736216	
138	1	B	4	N	2500	0	40	31	48	14	15	20	0	0	0	0	0	0	0	0	0	0	0	0	8737058	
139	1	B	4	N	2500	0	40	29	41	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	8737214	
140	1	B	4	N	2500	0	40	27	44	2	4	12	0	0	0	0	0	0	0	0	0	0	0	0	8737526	
141	1	B	4	N	2500	0	40	22	28	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	8738103	
142	1	B	4	N	2500	0	40	20	22	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8738431	
143	1	B	4	N	2500	0	40	90	140	6	5	9	0	0	0	0	0	0	0	0	0	0	0	0	8739086	
144	1	B	4	N	2500	0	40	26	29	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	8739523	
145	1	B	4	N	2500	0	40	22	21	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8741769	
146	1	B	4	N	2500	0	40	48	100	7	7	17	0	0	0	0	0	0	0	0	0	0	0	0	8741910	
147	1	B	3	N	2500	6	40	35	42	2	4	12	0	0	0	0	0	0	0	0	0	0	0	0	8750711	
148	1	B	3	N	2500	0	40	40	66	4	4	8	0	0	0	0	0	0	0	0	0	0	0	0	8751772	
149	1	B	3	N	2500	0	40	37	70	4	7	18	0	0	0	0	0	0	0	0	0	0	0	0	8752022	
150	1	B	3	N	2500	0	40	28	40	2	5	17	0	0	0	0	0	0	0	0	0	0	0	0	8753207	
151	1	B	3	N	2500	0	40	20	25	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8753472	
152	1	B	3	N	2500	0	40	42	105	7	10	29	0	0	0	0	0	0	0	0	0	0	0	0	8753566	
153	1	B	3	N	2500	0	40	33	55	3	4	9	0	0	0	0	0	0	0	0	0	0	0	0	8753660	
154	1	B	3	N	2500	0	40	33	42	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8753878	
155	1	B	3	N	2500	0	40	208	315	11	12	46	0	0	0	0	0	0	0	0	0	0	0	0	8755002	
156	1	B	3	N	2500	0	40	141	309	11	18	61	0	0	0	0	0	0	0	0	0	0	0	0	8755236	
157	1	B	3	N	2500	0	40	40	74	5	7	19	0	0	0	0	0	0	0	0	0	0	0	0	8755689	
158	1	B	2	N	2500	6	40	21	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8763115	
159	1	B	2	N	2500	0	40	22	22	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	8764146	
160	1	B	2	N	2500	0	40	22	29	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	8767657	
161	1	B	2	N	2500	0	40	21	21	1	2	9	0	0	0	0	0	0	0	0	0	0	0	0	8767657	
162	1	B	2	N	2500	0	40	21	27	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	8767984	
163	1	B	2	N	2500	0	40	35	55	4	5	10	0	0	0	0	0	0	0	0	0	0	0	0	8768218	
164	1	B	2	N	2500	0	40	25	31	2	4	14	0	0	0	0	0	0	0	0	0	0	0	0	8768218	
165	1	B	2	N	2500	0	40	20	24	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	8768952	
166	1	B	2	N	2500	0	40	197	267	13	6	23	0	0	0	0	0	0	0	0	0	0	0	0	8769561	
167	1	B	2	N	2500	0	40	39	44	3	4	10	0	0	0	0	0	0	0	0	0	0	0	0	8769655	
168	1	B	1	N	2500	6	40	32	64	3	7	25	0	0	0	0	0	0	0	0	0	0	0	0	8781950	
169	1	C	1	N	2500	6	40	33	46	3	4	9	0	0	0	0	0	0	0	0	0	0	0	0	8791671	
170	1	C	1	N	2500	0	40	247	420	20	11	28	0	0	0	0	0	0	0	0	0	0	0	0	8795634	
171	1	C	1	N	2500	0	40	31	47	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	8797084	
172	1	C	1	N	2500	0	40	189	266	11	15	49	0	0	0	0	0	0	0	0	0	0	0	0	8797818	
173	1	C	2	N	2500	6	40	21	22	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	8806792	
174	1	C	2	N	2500	0	40	22	25	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	8807057	
175	1	C	2	N	2500	0	40	241	360	16	21	81	0	0	0	0	0	0	0	0	0	0	0	0	8807353	
176	1	C	2	N	2500	0	40	34	70	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	8807556	
177	1	C	2	N	2500	0	40	20	17	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	8810505	
178	1	C	2	N	2500	0	40	376	767	38	42	129	0	0	0	0	0	0	0	0	0	0	0	0	8810676	
