Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	6	40	31	52	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1210276	
1	1	A	1	N	2500	0	40	28	49	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1210666	
2	1	A	1	N	2500	0	40	33	46	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1213474	
3	1	A	1	N	2500	0	40	27	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1216829	
4	1	A	1	N	2500	0	40	35	56	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1217094	
5	1	A	2	N	2500	6	40	23	47	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1225536	
6	1	A	2	N	2500	0	40	25	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226035	
7	1	A	2	N	2500	0	40	65	84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227736	
8	1	A	2	N	2500	0	40	21	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228766	
9	1	A	2	N	2500	0	40	219	295	931	331	41	0	0	0	0	0	0	0	0	0	0	0	0	1229687	
10	1	A	3	N	2500	6	40	22	27	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1242622	
11	1	A	4	N	2500	6	40	54	103	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1252656	
12	1	A	4	N	2500	0	40	211	315	52	13	22	0	0	0	0	0	0	0	0	0	0	0	0	1259084	
13	1	A	5	N	2500	6	40	25	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270772	
14	1	A	5	N	2500	0	40	29	70	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1272083	
15	1	A	5	N	2500	0	40	47	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273332	
16	1	A	6	N	2500	6	40	21	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1281586	
17	1	A	6	N	2500	0	40	326	788	42	6	7	0	0	0	0	0	0	0	0	0	0	0	0	1281929	
18	1	A	6	N	2500	0	40	26	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284457	
19	1	A	7	N	2500	6	40	63	65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296128	
20	1	A	7	N	2500	0	40	23	28	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1298953	
21	1	A	7	N	2500	0	40	24	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301294	
22	1	A	8	N	2500	6	40	23	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309845	
23	1	A	8	N	2500	0	40	35	36	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1314729	
24	1	A	9	N	2500	6	40	53	95	3	6	21	0	0	0	0	0	0	0	0	0	0	0	0	1324825	
25	1	A	10	N	2500	6	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1343628	
26	1	A	10	N	2500	0	40	34	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344049	
27	1	A	11	N	2500	6	40	106	750	139	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1353037	
28	1	A	11	N	2500	0	40	83	551	82	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1353489	
29	1	A	11	N	2500	0	40	45	184	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354598	
30	1	A	11	N	2500	0	40	49	106	10	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1355471	
31	1	A	11	N	2500	0	40	26	50	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355752	
32	1	A	11	N	2500	0	40	29	75	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1357000	
33	1	A	11	N	2500	0	40	31	40	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1358514	
34	1	A	11	N	2500	0	40	25	32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1359669	
35	1	A	12	N	2500	6	40	33	58	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1368235	
36	1	A	12	N	2500	0	40	62	88	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1368844	
37	1	A	12	N	2500	0	40	33	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368937	
38	1	A	12	N	2500	0	40	20	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1369125	
39	1	A	12	N	2500	0	40	24	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1369874	
40	1	A	12	N	2500	0	40	94	173	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1370576	
41	1	A	12	N	2500	0	40	27	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1371309	
42	1	A	12	N	2500	0	40	89	175	32	19	8	0	0	0	0	0	0	0	0	0	0	0	0	1372573	
43	1	A	12	N	2500	0	40	27	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1372604	
44	1	A	12	N	2500	0	40	27	50	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1373041	
45	1	A	12	N	2500	0	40	32	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1373135	
46	1	A	12	N	2500	0	40	57	339	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1373228	
47	1	B	12	N	2500	6	40	25	52	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380578	
48	1	B	12	N	2500	0	40	20	37	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380578	
49	1	B	12	N	2500	0	40	49	207	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380593	
50	1	B	12	N	2500	0	40	93	648	113	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1380609	
51	1	B	12	N	2500	0	40	80	540	84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1380765	
52	1	B	12	N	2500	0	40	44	181	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380796	
53	1	B	12	N	2500	0	40	32	96	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380890	
54	1	B	12	N	2500	0	40	73	475	70	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1380905	
55	1	B	12	N	2500	0	40	28	64	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380968	
56	1	B	12	N	2500	0	40	75	484	70	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1381015	
57	1	B	12	N	2500	0	40	48	233	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1381015	
58	1	B	12	N	2500	0	40	78	516	77	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1381077	
59	1	B	12	N	2500	0	40	82	549	84	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1381077	
60	1	B	12	N	2500	0	40	23	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1381218	
61	1	B	12	N	2500	0	40	60	370	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1381234	
62	1	B	12	N	2500	0	40	47	188	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1381343	
63	1	B	12	N	2500	0	40	91	638	82	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1381998	
64	1	B	12	N	2500	0	40	26	53	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382092	
65	1	B	12	N	2500	0	40	93	646	108	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1382108	
66	1	B	12	N	2500	0	40	115	832	149	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1382123	
67	1	B	12	N	2500	0	40	32	90	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382326	
68	1	B	12	N	2500	0	40	35	98	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382388	
69	1	B	12	N	2500	0	40	28	74	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382435	
70	1	B	12	N	2500	0	40	31	72	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382498	
71	1	B	12	N	2500	0	40	49	240	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382841	
72	1	B	12	N	2500	0	40	41	167	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382903	
73	1	B	12	N	2500	0	40	28	69	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1382934	
74	1	B	12	N	2500	0	40	33	96	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1383044	
75	1	B	12	N	2500	0	40	27	65	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384089	
