Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	302	1063	58	281	730	0	0	0	0	0	0	0	0	0	0	0	0	8952963	
1	1	A	1	N	2500	0	40	403	1221	79	125	390	0	0	0	0	0	0	0	0	0	0	0	0	8953120	
2	1	A	1	N	2500	0	40	39	134	17	1	2	0	0	0	0	0	0	0	0	0	0	0	0	8953136	
3	1	A	1	N	2500	0	40	366	1278	89	188	583	0	0	0	0	0	0	0	0	0	0	0	0	8953260	
4	1	A	1	N	2500	0	40	412	1170	62	63	150	0	0	0	0	0	0	0	0	0	0	0	0	8953307	
5	1	A	1	N	2500	0	40	23	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8953354	
6	1	A	1	N	2500	0	40	370	637	49	24	58	0	0	0	0	0	0	0	0	0	0	0	0	8953401	
7	1	A	1	N	2500	0	40	409	1312	74	93	261	0	0	0	0	0	0	0	0	0	0	0	0	8953416	
8	1	A	1	N	2500	0	40	33	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8953650	
9	1	A	1	N	2500	0	40	414	1182	82	145	431	0	0	0	0	0	0	0	0	0	0	0	0	8953728	
10	1	A	1	N	2500	0	40	467	1514	97	188	576	0	0	0	0	0	0	0	0	0	0	0	0	8953760	
11	1	A	1	N	2500	0	40	453	1285	80	434	904	0	0	0	0	0	0	0	0	0	0	0	0	8953806	
12	1	A	1	N	2500	0	40	195	508	22	46	150	0	0	0	0	0	0	0	0	0	0	0	0	8953806	
13	1	A	1	N	2500	0	40	106	108	8	147	347	0	0	0	0	0	0	0	0	0	0	0	0	8954072	
14	1	A	1	N	2500	0	40	364	981	61	85	260	0	0	0	0	0	0	0	0	0	0	0	0	8954118	
15	1	A	1	N	2500	0	40	325	944	56	89	267	0	0	0	0	0	0	0	0	0	0	0	0	8954462	
16	1	A	1	N	2500	0	40	306	682	39	29	86	0	0	0	0	0	0	0	0	0	0	0	0	8954852	
